"","beta","HR (95% CI for HR)","wald.test","p.value"
"G100996295","0.029","1 (0.76-1.4)","0.03","0.85"
"G340527","-0.44","0.64 (0.48-0.87)","8","0.0046"
"G80243","-0.81","0.44 (0.29-0.69)","13","0.00027"
"G23408","-1.5","0.22 (0.097-0.51)","13","0.00038"
"G28968","-0.71","0.49 (0.35-0.68)","19","1.7e-05"
"G101928834","-0.27","0.77 (0.6-0.97)","4.7","0.03"
"G101928893","-0.27","0.76 (0.62-0.93)","7.2","0.0071"
"G101927220","-0.0023","1 (0.77-1.3)","0","0.99"
"G23629","-0.29","0.75 (0.52-1.1)","2.4","0.12"
"G101928844","-0.17","0.85 (0.4-1.8)","0.2","0.66"
"G101928525","-0.7","0.5 (0.36-0.68)","18","2.2e-05"
"G100288721","0.093","1.1 (0.87-1.4)","0.64","0.42"
"G641977","-1.3","0.27 (0.12-0.62)","9.5","0.0021"
"G284459","0.13","1.1 (0.42-3.1)","0.07","0.79"
"G100861547","-0.06","0.94 (0.75-1.2)","0.27","0.6"
"G7140","0.13","1.1 (0.75-1.7)","0.37","0.54"
"G100874074","-0.033","0.97 (0.63-1.5)","0.02","0.88"
"G11165","-1.4","0.24 (0.078-0.73)","6.3","0.012"
"G152586","-0.046","0.96 (0.72-1.3)","0.11","0.75"
"G100101938","-0.099","0.91 (0.65-1.3)","0.34","0.56"
"G221938","-0.15","0.86 (0.46-1.6)","0.24","0.63"
"G9994","-0.85","0.43 (0.23-0.79)","7.3","0.0068"
"G400958","0.31","1.4 (1-1.8)","4.3","0.038"
"G253724","-0.078","0.92 (0.58-1.5)","0.11","0.74"
"G101927411","-0.36","0.7 (0.51-0.96)","4.9","0.026"
"G149620","-0.15","0.86 (0.71-1)","2.2","0.14"
"G729522","-0.091","0.91 (0.75-1.1)","0.81","0.37"
"G641515","0.063","1.1 (0.86-1.3)","0.33","0.57"
"G10579","-1.1","0.35 (0.2-0.62)","13","3e-04"
"G119587","0.45","1.6 (0.91-2.7)","2.6","0.11"
"G8120","-0.18","0.83 (0.59-1.2)","1.1","0.3"
"G26100","-0.23","0.8 (0.25-2.5)","0.15","0.7"
"G83874","-0.4","0.67 (0.4-1.1)","2.3","0.13"
"G286527","0.14","1.2 (0.69-1.9)","0.29","0.59"
"G101927126","-0.09","0.91 (0.67-1.2)","0.33","0.56"
"G120526","-1.2","0.3 (0.15-0.63)","10","0.0012"
"G9781","0.17","1.2 (0.68-2.1)","0.37","0.54"
"G84787","0.28","1.3 (0.77-2.3)","1","0.31"
"G348645","-0.038","0.96 (0.6-1.5)","0.03","0.87"
"G140706","-0.62","0.54 (0.25-1.2)","2.5","0.12"
"G101929865","-0.37","0.69 (0.4-1.2)","1.7","0.19"
"G101930243","-0.37","0.69 (0.4-1.2)","1.7","0.19"
"G101928846","-0.31","0.74 (0.52-1.1)","2.8","0.092"
"G100506679","-0.54","0.58 (0.46-0.74)","19","1.1e-05"
"G101928139","-0.27","0.76 (0.6-0.97)","5.1","0.024"
"G101928730","0.0045","1 (0.78-1.3)","0","0.97"
"G161357","0.088","1.1 (0.79-1.5)","0.29","0.59"
"G100130609","-0.47","0.62 (0.48-0.81)","13","0.00038"
"G22891","-0.0028","1 (0.62-1.6)","0","0.99"
"G222962","0.37","1.4 (1.1-2)","5.7","0.017"
"G102723099","0.28","1.3 (0.9-2)","2","0.15"
"G101929144","-0.22","0.81 (0.63-1)","2.9","0.087"
"G55308","0.17","1.2 (0.4-3.6)","0.1","0.76"
"G65244","0.74","2.1 (0.99-4.4)","3.7","0.054"
"G101926916","-0.26","0.77 (0.51-1.2)","1.4","0.24"
"G653145","-0.5","0.6 (0.43-0.85)","8.2","0.0043"
"G728113","-0.5","0.6 (0.43-0.85)","8.2","0.0043"
"G102725207","-0.53","0.59 (0.45-0.76)","17","4.5e-05"
"G4645","0.65","1.9 (1.1-3.3)","5.3","0.021"
"G51377","0.4","1.5 (0.58-3.8)","0.7","0.4"
"G728591","0.16","1.2 (0.78-1.8)","0.6","0.44"
"G101926978","0.32","1.4 (0.82-2.3)","1.5","0.22"
"G100852408","0.046","1 (0.78-1.4)","0.1","0.76"
"G25896","0.056","1.1 (0.47-2.4)","0.02","0.89"
"G101927539","-0.23","0.79 (0.6-1)","2.8","0.093"
"G692159","-0.035","0.97 (0.76-1.2)","0.08","0.77"
"G9970","-0.14","0.87 (0.62-1.2)","0.65","0.42"
"G4045","-0.33","0.72 (0.5-1)","3.1","0.078"
"G101928797","0.021","1 (0.8-1.3)","0.03","0.86"
"G391059","0.11","1.1 (0.89-1.4)","0.87","0.35"
"G9701","-0.5","0.61 (0.23-1.6)","1","0.32"
"G84171","0.52","1.7 (1.1-2.5)","6.2","0.013"
"G64579","-0.32","0.73 (0.53-0.99)","4.1","0.043"
"G101928773","-0.14","0.87 (0.66-1.1)","1.1","0.3"
"G284417","0.031","1 (0.79-1.3)","0.05","0.82"
"G101927124","-0.039","0.96 (0.76-1.2)","0.1","0.75"
"G101927884","-0.32","0.73 (0.55-0.95)","5.3","0.021"
"G9113","0.34","1.4 (0.64-3.1)","0.72","0.4"
"G101928559","0.14","1.1 (0.83-1.6)","0.71","0.4"
"G149047","-0.26","0.77 (0.65-0.92)","8.3","0.0039"
"G102725438","-0.47","0.63 (0.32-1.2)","1.9","0.17"
"G84503","0.36","1.4 (0.64-3.2)","0.79","0.38"
"G374955","-0.2","0.82 (0.47-1.4)","0.5","0.48"
"G54886","-0.32","0.72 (0.54-0.97)","4.7","0.03"
"G729171","-0.4","0.67 (0.56-0.81)","18","1.8e-05"
"G101928851","0.0084","1 (0.81-1.2)","0.01","0.94"
"G100616446","0.32","1.4 (0.99-1.9)","3.6","0.059"
"G101929210","0.14","1.2 (0.93-1.4)","1.7","0.19"
"G101926942","-0.38","0.69 (0.54-0.87)","9.7","0.0018"
"G101927907","0.19","1.2 (0.94-1.6)","2.1","0.15"
"G203074","-0.19","0.83 (0.64-1.1)","2.2","0.14"
"G19","-0.024","0.98 (0.58-1.6)","0.01","0.93"
"G646736","0.18","1.2 (0.9-1.6)","1.5","0.22"
"G100874194","0.14","1.2 (0.99-1.3)","3.2","0.074"
"G101927123","-0.23","0.79 (0.61-1)","3.2","0.076"
"G6907","0.038","1 (0.49-2.2)","0.01","0.92"
"G101927719","-0.21","0.81 (0.65-1)","3.4","0.067"
"G283902","-0.37","0.69 (0.43-1.1)","2.2","0.13"
"G140834","-0.12","0.89 (0.59-1.3)","0.32","0.57"
"G622","-0.15","0.86 (0.49-1.5)","0.27","0.6"
"G344018","-0.18","0.83 (0.67-1)","2.6","0.11"
"G58483","0.033","1 (0.72-1.5)","0.03","0.86"
"G6945","1.3","3.7 (1.3-10)","6.4","0.011"
"G11174","-0.37","0.69 (0.43-1.1)","2.3","0.13"
"G9482","0.17","1.2 (0.55-2.5)","0.19","0.66"
"G8653","-0.076","0.93 (0.77-1.1)","0.65","0.42"
"G101928207","-0.021","0.98 (0.73-1.3)","0.02","0.88"
"G155061","-0.16","0.85 (0.29-2.5)","0.08","0.77"
"G100506585","0.038","1 (0.55-2)","0.01","0.91"
"G259294","-0.091","0.91 (0.7-1.2)","0.43","0.51"
"G101926928","0.023","1 (0.84-1.3)","0.05","0.82"
"G100129583","-0.43","0.65 (0.41-1)","3.4","0.067"
"G101929076","0.13","1.1 (0.83-1.6)","0.69","0.41"
"G100133131","-0.14","0.87 (0.7-1.1)","1.7","0.19"
"G79667","-0.74","0.48 (0.33-0.7)","15","0.00012"
"G11056","0.44","1.6 (0.63-3.8)","0.9","0.34"
"G6813","0.027","1 (0.54-2)","0.01","0.93"
"G54221","-0.24","0.79 (0.56-1.1)","1.9","0.17"
"G339400","-0.048","0.95 (0.65-1.4)","0.06","0.81"
"G7113","-0.37","0.69 (0.56-0.84)","13","0.00026"
"G63908","-0.55","0.58 (0.36-0.93)","5.1","0.023"
"G643201","0.06","1.1 (0.81-1.4)","0.19","0.67"
"G643365","-0.13","0.87 (0.54-1.4)","0.3","0.58"
"G1979","-1.1","0.32 (0.15-0.69)","8.3","0.004"
"G79820","-0.2","0.82 (0.59-1.1)","1.4","0.23"
"G417","0.42","1.5 (0.83-2.8)","1.8","0.18"
"G5244","0.21","1.2 (0.81-1.9)","0.95","0.33"
"G9169","-0.37","0.69 (0.19-2.5)","0.32","0.57"
"G55160","0.15","1.2 (0.51-2.6)","0.13","0.72"
"G282763","-0.51","0.6 (0.39-0.92)","5.5","0.019"
"G83734","-0.63","0.54 (0.25-1.2)","2.5","0.11"
"G64132","0.21","1.2 (0.65-2.3)","0.41","0.52"
"G9933","-0.8","0.45 (0.19-1.1)","3.2","0.071"
"G51727","0.86","2.4 (1.1-5.1)","4.8","0.029"
"G400759","4.5e-05","1 (0.78-1.3)","0","1"
"G9512","-1.1","0.35 (0.13-0.93)","4.4","0.035"
"G100130502","0.61","1.8 (1.2-2.9)","6.6","0.011"
"G55297","-0.32","0.72 (0.3-1.7)","0.54","0.46"
"G729291","-0.083","0.92 (0.61-1.4)","0.15","0.7"
"G196264","-0.43","0.65 (0.42-1)","3.7","0.055"
"G6924","-1.5","0.22 (0.096-0.49)","14","0.00024"
"G883","-0.16","0.85 (0.48-1.5)","0.28","0.6"
"G2621","-0.22","0.8 (0.49-1.3)","0.76","0.38"
"G4323","0.8","2.2 (1.5-3.4)","15","0.00011"
"G8717","0.83","2.3 (1.2-4.4)","6.3","0.012"
"G100529261","0.14","1.2 (0.6-2.2)","0.18","0.68"
"G441263","-0.2","0.82 (0.27-2.5)","0.12","0.73"
"G572","0.15","1.2 (0.54-2.5)","0.15","0.7"
"G10594","-1.1","0.33 (0.13-0.81)","5.8","0.016"
"G826","1.1","3.1 (1.8-5.3)","16","4.9e-05"
"G11224","1.7","5.4 (2.3-12)","16","6.9e-05"
"G6158","2","7.2 (2.3-22)","12","0.00056"
"G102465483","2","7.2 (2.3-22)","12","0.00056"
"G8664","1.1","3.1 (1.1-9.3)","4.2","0.04"
"G11315","2.6","13 (2.2-80)","8","0.0046"
"G6727","4.7","110 (19-590)","28","1.2e-07"
"G2665","1.8","6.3 (2.2-18)","12","0.00066"
"G6135","0.25","1.3 (0.5-3.4)","0.27","0.6"
"G377","1.4","4 (1.7-9.7)","9.8","0.0018"
"G6144","-1.4","0.24 (0.11-0.53)","12","0.00041"
"G26771","-1.4","0.24 (0.11-0.53)","12","0.00041"
"G619499","-1.4","0.24 (0.11-0.53)","12","0.00041"
"G100131205","-1.4","0.24 (0.11-0.53)","12","0.00041"
"G6152","0.73","2.1 (0.55-7.8)","1.2","0.28"
"G3178","-0.12","0.89 (0.31-2.5)","0.05","0.82"
"G664709","3.5","34 (6.4-180)","17","3.7e-05"
"G6233","0.13","1.1 (0.54-2.4)","0.12","0.73"
"G6207","3.5","34 (5.8-190)","15","8.9e-05"
"G85388","3.5","34 (5.8-190)","15","8.9e-05"
"G100508408","3.5","34 (5.8-190)","15","8.9e-05"
"G2197","1.9","6.9 (1.9-25)","8.4","0.0037"
"G23435","-2.5","0.081 (0.024-0.27)","17","4.4e-05"
"G6141","1.3","3.8 (1.2-12)","5.4","0.021"
"G8665","-0.06","0.94 (0.53-1.7)","0.04","0.84"
"G6193","1.5","4.3 (1.6-11)","8.6","0.0033"
"G6155","2.7","15 (2.4-89)","8.6","0.0033"
"G6164","0.79","2.2 (0.77-6.2)","2.2","0.14"
"G4677","1.8","5.8 (1.9-18)","9.3","0.0023"
"G56910","-0.17","0.84 (0.21-3.4)","0.06","0.81"
"G6143","2.3","9.6 (2.1-44)","8.5","0.0036"
"G5250","-0.17","0.85 (0.39-1.8)","0.18","0.67"
"G6205","0.19","1.2 (0.37-3.9)","0.1","0.75"
"G84546","2.2","9 (2.1-38)","9","0.0027"
"G6133","2.9","18 (3.6-94)","12","0.00047"
"G1655","-0.7","0.5 (0.19-1.3)","2.2","0.14"
"G100616387","1.3","3.6 (0.62-21)","2","0.15"
"G100616408","1.3","3.6 (0.62-21)","2","0.15"
"G6128","2.6","14 (1.7-110)","6.1","0.014"
"G23399","-0.34","0.71 (0.23-2.2)","0.36","0.55"
"G4736","1.8","5.9 (1.8-19)","9","0.0027"
"G6139","1.8","6.2 (1.3-29)","5.4","0.02"
"G26790","1.5","4.3 (1.1-17)","4.2","0.041"
"G26791","1.5","4.3 (1.1-17)","4.2","0.041"
"G497661","3.1","22 (4.5-110)","14","0.00014"
"G100124516","1.5","4.3 (1.1-17)","4.2","0.041"
"G100526842","1.8","6.2 (1.3-29)","5.4","0.02"
"G5690","0.077","1.1 (0.47-2.5)","0.03","0.86"
"G10657","1.1","3.1 (0.83-12)","2.8","0.093"
"G7919","-1.7","0.19 (0.085-0.42)","16","5.3e-05"
"G692199","-1.7","0.19 (0.085-0.42)","16","5.3e-05"
"G100532737","-1.7","0.19 (0.085-0.42)","16","5.3e-05"
"G51493","0.93","2.5 (1.1-5.9)","4.6","0.031"
"G2079","-0.43","0.65 (0.31-1.4)","1.3","0.26"
"G8683","0.61","1.8 (0.81-4.2)","2.1","0.14"
"G283459","1.4","4 (1.4-12)","6.5","0.011"
"G23","0.72","2.1 (0.75-5.7)","2","0.16"
"G1603","1.1","3 (1.3-7.3)","6.2","0.013"
"G7528","1","2.7 (0.63-12)","1.8","0.18"
"G10899","3.1","22 (5.1-98)","17","3.8e-05"
"G11143","-0.48","0.62 (0.24-1.6)","1","0.31"
"G9092","-0.3","0.74 (0.42-1.3)","1.1","0.29"
"G3608","0.83","2.3 (1.3-4.1)","7.6","0.0058"
"G9552","-0.045","0.96 (0.41-2.2)","0.01","0.92"
"G8882","0.7","2 (0.92-4.4)","3","0.081"
"G6881","-0.32","0.72 (0.27-1.9)","0.42","0.52"
"G10438","-0.51","0.6 (0.18-2)","0.7","0.4"
"G4841","1.3","3.7 (1.6-8.5)","9.4","0.0022"
"G23020","-1.2","0.31 (0.14-0.67)","8.7","0.0031"
"G101929240","-0.9","0.41 (0.2-0.82)","6.2","0.012"
"G10921","0.25","1.3 (0.68-2.5)","0.59","0.44"
"G6156","3.6","35 (5.6-220)","15","0.00013"
"G4869","1.4","4 (1.6-10)","8.7","0.0032"
"G375","-0.071","0.93 (0.38-2.3)","0.02","0.88"
"G100500810","0.7","2 (0.92-4.4)","3.1","0.078"
"G3550","0.47","1.6 (0.56-4.6)","0.78","0.38"
"G8724","2.1","7.9 (1.2-52)","4.7","0.031"
"G821","0.44","1.5 (0.62-3.9)","0.88","0.35"
"G27013","0.35","1.4 (0.65-3.1)","0.79","0.37"
"G10285","-0.54","0.58 (0.15-2.2)","0.64","0.42"
"G3184","-2","0.13 (0.043-0.41)","12","0.00049"
"G9045","1.8","5.8 (1.4-24)","5.8","0.016"
"G2987","-0.5","0.61 (0.23-1.6)","1","0.32"
"G79036","-0.45","0.63 (0.27-1.5)","1","0.31"
"G4946","3.5","32 (8.2-120)","25","5.9e-07"
"G533","1.5","4.3 (1.9-9.5)","13","0.00039"
"G3735","2.1","7.9 (2.3-27)","11","0.001"
"G3020","3.6","35 (7-180)","19","1.5e-05"
"G3021","3.5","33 (6.6-160)","18","1.9e-05"
"G440926","2.6","13 (4.6-39)","23","2e-06"
"G6194","1.4","3.9 (1.4-11)","6.9","0.0085"
"G6201","2.1","8.6 (2-37)","8.4","0.0038"
"G23326","-0.34","0.71 (0.36-1.4)","0.94","0.33"
"G6923","0.57","1.8 (0.81-3.8)","2","0.15"
"G1327","0.35","1.4 (0.53-3.8)","0.47","0.49"
"G10959","0.3","1.4 (0.59-3.1)","0.52","0.47"
"G6136","3.6","36 (7.8-170)","21","4.4e-06"
"G6124","0.55","1.7 (0.45-6.7)","0.63","0.43"
"G595097","0.55","1.7 (0.45-6.7)","0.63","0.43"
"G595098","0.55","1.7 (0.45-6.7)","0.63","0.43"
"G595099","0.55","1.7 (0.45-6.7)","0.63","0.43"
"G595100","0.55","1.7 (0.45-6.7)","0.63","0.43"
"G2339","0.95","2.6 (0.96-7)","3.5","0.061"
"G6230","0.008","1 (0.19-5.3)","0","0.99"
"G6167","0.064","1.1 (0.49-2.3)","0.03","0.87"
"G1938","-0.12","0.89 (0.38-2.1)","0.07","0.78"
"G6204","1.7","5.7 (1-33)","3.9","0.049"
"G8992","-0.14","0.87 (0.27-2.8)","0.05","0.82"
"G3190","2","7.4 (0.75-72)","2.9","0.086"
"G51433","-1.2","0.31 (0.083-1.1)","3.1","0.078"
"G6189","2.9","19 (2.3-150)","7.6","0.0057"
"G8944","2.9","19 (2.3-150)","7.6","0.0057"
"G3192","-0.7","0.5 (0.17-1.4)","1.6","0.2"
"G8661","0.57","1.8 (0.47-6.7)","0.71","0.4"
"G7184","1.4","4 (1.9-8.6)","13","0.00036"
"G100500842","1.2","3.4 (1.6-7.5)","9.3","0.0023"
"G4478","-0.7","0.5 (0.21-1.1)","2.7","0.1"
"G81","0.96","2.6 (1.1-6)","5.2","0.023"
"G351","-0.2","0.82 (0.33-2)","0.18","0.67"
"G5573","-0.33","0.72 (0.22-2.4)","0.29","0.59"
"G1832","0.66","1.9 (1.4-2.6)","17","3e-05"
"G5885","0.17","1.2 (0.45-3.1)","0.11","0.73"
"G9948","0.69","2 (0.59-6.8)","1.2","0.27"
"G4691","0.88","2.4 (0.92-6.3)","3.2","0.074"
"G163","1.2","3.4 (1.7-6.9)","12","0.00059"
"G1173","1.6","5.1 (2.4-10)","19","1.3e-05"
"G1213","0.23","1.3 (0.57-2.8)","0.33","0.57"
"G9761","0.28","1.3 (0.73-2.4)","0.84","0.36"
"G3927","1.8","6.1 (2.6-14)","18","2.1e-05"
"G9528","-0.95","0.39 (0.21-0.7)","9.9","0.0017"
"G1465","0.37","1.5 (0.74-2.8)","1.2","0.27"
"G801","0.19","1.2 (0.25-5.7)","0.05","0.81"
"G805","0.46","1.6 (0.31-8.2)","0.3","0.58"
"G808","0.46","1.6 (0.31-8.2)","0.3","0.58"
"G10487","2.5","12 (3.7-42)","17","4.4e-05"
"G10728","2.8","16 (3.8-66)","14","0.00014"
"G7453","0.59","1.8 (1.2-2.8)","7.1","0.0078"
"G6418","2.6","14 (4.5-41)","22","3.5e-06"
"G646817","2.8","17 (5.2-57)","22","2.9e-06"
"G10397","0.77","2.1 (1.4-3.4)","11","0.0011"
"G7314","4.3","73 (15-350)","29","6.9e-08"
"G5216","0.076","1.1 (0.51-2.3)","0.04","0.84"
"G5792","-0.25","0.78 (0.44-1.4)","0.78","0.38"
"G7534","1.6","4.8 (2.2-11)","16","8.1e-05"
"G6647","1.2","3.2 (1.2-8.3)","5.8","0.016"
"G3069","-0.15","0.86 (0.25-3)","0.06","0.81"
"G65108","0.75","2.1 (1.4-3.2)","14","0.00023"
"G11337","1.4","4 (1-16)","4","0.044"
"G4924","1.4","3.9 (1.9-8)","14","0.00016"
"G8663","0.19","1.2 (0.51-2.9)","0.18","0.67"
"G728689","0.71","2 (0.91-4.6)","3","0.084"
"G2752","1.1","3.1 (1.6-6.1)","10","0.0013"
"G3939","3.4","31 (9.8-97)","34","4.4e-09"
"G10399","-0.21","0.81 (0.31-2.2)","0.17","0.68"
"G619570","-0.21","0.81 (0.31-2.2)","0.17","0.68"
"G619571","-0.21","0.81 (0.31-2.2)","0.17","0.68"
"G6746","0.68","2 (0.98-4)","3.6","0.057"
"G292","1.4","4.1 (1.6-11)","8.6","0.0035"
"G5245","1.5","4.6 (2.3-9)","19","1.3e-05"
"G6282","1.1","3 (1.8-4.9)","19","1.3e-05"
"G5476","0.76","2.1 (1.3-3.5)","9.3","0.0023"
"G9804","0.32","1.4 (0.48-3.9)","0.35","0.55"
"G967","3.7","39 (10-150)","29","6.4e-08"
"G3337","0.067","1.1 (0.61-1.9)","0.06","0.81"
"G6678","0.33","1.4 (0.64-3)","0.68","0.41"
"G7323","-0.97","0.38 (0.12-1.2)","2.8","0.097"
"G7494","-1.3","0.26 (0.11-0.59)","10","0.0013"
"G6711","-0.91","0.4 (0.19-0.87)","5.3","0.021"
"G9741","1.9","6.6 (0.93-47)","3.6","0.058"
"G6161","4.1","62 (15-260)","33","8.5e-09"
"G975","0.0035","1 (0.3-3.4)","0","1"
"G7332","1.4","4.2 (1.6-11)","8.5","0.0036"
"G754","2.6","14 (3.2-62)","12","0.00046"
"G2896","1.2","3.4 (1.7-6.9)","12","0.00055"
"G3146","1.5","4.5 (0.81-25)","2.9","0.086"
"G2739","0.6","1.8 (0.7-4.7)","1.5","0.22"
"G9295","-1.5","0.21 (0.1-0.44)","17","3.8e-05"
"G23450","0.65","1.9 (0.64-5.7)","1.3","0.25"
"G1937","4.7","120 (20-650)","29","8e-08"
"G100500804","4.7","120 (20-650)","29","8e-08"
"G3313","-0.69","0.5 (0.21-1.2)","2.3","0.13"
"G10971","3.3","27 (4.9-140)","15","0.00014"
"G57062","-0.22","0.8 (0.29-2.2)","0.18","0.67"
"G5518","0.59","1.8 (0.86-3.8)","2.4","0.12"
"G3098","1.9","6.9 (2.4-20)","13","0.00031"
"G11014","0.89","2.4 (1.3-4.6)","7.6","0.0058"
"G10577","0.12","1.1 (0.57-2.2)","0.11","0.74"
"G8655","1.4","3.9 (1.8-8.7)","12","0.00069"
"G1933","1.4","4.2 (1.4-13)","6.5","0.011"
"G619569","1.4","4.2 (1.4-13)","6.5","0.011"
"G5589","1.2","3.3 (1.4-7.9)","7","0.0079"
"G2806","0.82","2.3 (1.2-4.4)","6.1","0.013"
"G2280","1","2.8 (1-7.6)","4","0.045"
"G101929368","1","2.8 (1-7.6)","4","0.045"
"G37","-0.73","0.48 (0.21-1.1)","2.9","0.09"
"G6500","-0.57","0.57 (0.21-1.5)","1.2","0.27"
"G22919","2.2","8.7 (3.6-21)","23","1.5e-06"
"G10956","0.32","1.4 (0.69-2.8)","0.85","0.36"
"G23521","2","7.6 (2-30)","8.6","0.0034"
"G26816","2","7.6 (2-30)","8.6","0.0034"
"G26817","2","7.6 (2-30)","8.6","0.0034"
"G26818","2","7.6 (2-30)","8.6","0.0034"
"G26819","2","7.6 (2-30)","8.6","0.0034"
"G728658","2.3","10 (2.4-44)","9.8","0.0017"
"G6129","1.7","5.7 (1.6-20)","7.2","0.0072"
"G10121","1.3","3.6 (1.2-11)","5.4","0.02"
"G4076","0.85","2.3 (0.53-10)","1.2","0.26"
"G6134","0.16","1.2 (0.38-3.6)","0.08","0.78"
"G26778","-0.24","0.78 (0.33-1.9)","0.29","0.59"
"G5501","2.4","11 (2.9-40)","13","0.00036"
"G7803","-0.32","0.73 (0.41-1.3)","1.2","0.28"
"G4666","1.1","3.1 (0.73-13)","2.4","0.13"
"G2876","1.1","3 (1.4-6.5)","7.6","0.0058"
"G6612","2.1","7.9 (2.2-28)","10","0.0013"
"G6232","-1.4","0.25 (0.11-0.54)","12","0.00044"
"G1200","-0.62","0.54 (0.22-1.3)","1.9","0.16"
"G2782","2","7.1 (2.3-22)","12","6e-04"
"G2495","1.9","6.5 (2.1-20)","11","0.001"
"G5901","0.88","2.4 (0.94-6.2)","3.3","0.069"
"G823","-0.3","0.74 (0.28-2)","0.36","0.55"
"G6427","0.64","1.9 (0.46-7.7)","0.79","0.37"
"G693221","0.64","1.9 (0.46-7.7)","0.79","0.37"
"G813","0.83","2.3 (1.3-4.1)","7.6","0.006"
"G4779","2","7.1 (2.1-24)","10","0.0015"
"G10550","2.3","10 (3.4-31)","17","3.2e-05"
"G1808","-0.54","0.58 (0.32-1.1)","3.2","0.074"
"G6176","0.73","2.1 (0.88-4.9)","2.8","0.095"
"G1509","0.5","1.6 (1-2.7)","3.9","0.049"
"G4144","0.097","1.1 (0.42-2.9)","0.04","0.84"
"G3915","0.91","2.5 (1.2-5.3)","5.7","0.017"
"G5757","1.3","3.6 (1.4-9.6)","6.7","0.0097"
"G728026","1.3","3.6 (1.5-8.4)","8.4","0.0038"
"G100302285","1.3","3.6 (1.5-8.4)","8.4","0.0038"
"G100422872","1.3","3.8 (1.6-8.6)","9.8","0.0017"
"G100422885","1.3","3.6 (1.5-8.4)","8.4","0.0038"
"G100506248","1.3","3.6 (1.5-8.4)","8.4","0.0038"
"G9689","1.3","3.7 (1.8-7.4)","13","0.00032"
"G468","0.76","2.1 (0.74-6.2)","2","0.16"
"G2778","0.32","1.4 (0.45-4.2)","0.31","0.58"
"G6210","-1.1","0.35 (0.15-0.82)","5.8","0.016"
"G308","2.2","9 (3.7-22)","24","1.2e-06"
"G5695","1.2","3.3 (1.3-8.2)","6.8","0.0093"
"G8682","2.4","11 (3.7-31)","19","1.4e-05"
"G1891","0.31","1.4 (0.71-2.6)","0.88","0.35"
"G4953","-0.63","0.53 (0.3-0.93)","4.9","0.027"
"G8826","-0.18","0.84 (0.29-2.4)","0.11","0.74"
"G2547","-1.3","0.26 (0.11-0.64)","8.5","0.0035"
"G50","0.95","2.6 (1.2-5.8)","5.3","0.021"
"G9802","1.6","4.8 (1.5-15)","7.1","0.0078"
"G8404","-0.41","0.66 (0.42-1.1)","3.1","0.08"
"G4170","-0.049","0.95 (0.49-1.9)","0.02","0.89"
"G3303","-0.22","0.8 (0.41-1.6)","0.42","0.52"
"G3304","-0.22","0.8 (0.41-1.6)","0.42","0.52"
"G3305","-0.18","0.84 (0.46-1.5)","0.34","0.56"
"G60","6.3","550 (80-3800)","41","1.4e-10"
"G6301","-0.28","0.76 (0.31-1.9)","0.36","0.55"
"G7009","1.4","4.2 (2-9)","14","0.00023"
"G10960","0.56","1.7 (1.1-2.8)","5.6","0.018"
"G3329","-0.73","0.48 (0.2-1.1)","2.8","0.095"
"G7791","0.53","1.7 (0.93-3.1)","3","0.085"
"G1153","-1.1","0.33 (0.18-0.61)","12","0.00045"
"G10574","2.5","12 (4.8-30)","28","1.3e-07"
"G5048","0.46","1.6 (0.39-6.4)","0.42","0.52"
"G5720","1.1","2.9 (1.2-7.3)","5.4","0.02"
"G5714","0.41","1.5 (0.84-2.7)","1.9","0.17"
"G3920","0.92","2.5 (1.3-4.8)","7.8","0.0053"
"G7167","0.64","1.9 (0.98-3.7)","3.6","0.058"
"G6159","1.3","3.7 (1.4-9.5)","7.2","0.0072"
"G2950","0.58","1.8 (1-3.2)","3.8","0.052"
"G10525","1.2","3.5 (1.7-7)","12","5e-04"
"G6633","1.5","4.5 (2.1-9.8)","14","0.00015"
"G5351","1.1","3.1 (1.6-5.8)","12","0.00059"
"G5708","1.7","5.6 (2.3-14)","15","0.00013"
"G6319","0.3","1.3 (1-1.8)","4.3","0.038"
"G5908","1","2.8 (1.1-6.8)","4.9","0.026"
"G6227","-0.47","0.63 (0.3-1.3)","1.6","0.21"
"G4134","0.46","1.6 (0.63-4)","0.97","0.32"
"G10134","0.96","2.6 (1.4-5.1)","8.1","0.0044"
"G1508","1.3","3.5 (1.9-6.4)","17","4.4e-05"
"G2058","0.68","2 (0.87-4.5)","2.6","0.1"
"G9588","0.075","1.1 (0.38-3)","0.02","0.89"
"G5499","0.98","2.7 (1.4-5)","9.6","0.0019"
"G51669","1.2","3.4 (0.85-14)","3","0.084"
"G10768","0.63","1.9 (0.67-5.2)","1.4","0.23"
"G2783","0.93","2.5 (1.1-5.8)","4.8","0.029"
"G3015","1.6","4.8 (2.3-10)","17","4.6e-05"
"G9611","-0.75","0.47 (0.19-1.2)","2.7","0.1"
"G6202","0.015","1 (0.6-1.7)","0","0.96"
"G26811","-2.8","0.062 (0.011-0.34)","10","0.0014"
"G94163","-2.8","0.062 (0.011-0.34)","10","0.0014"
"G2316","0.35","1.4 (0.87-2.3)","1.9","0.17"
"G1718","-0.33","0.72 (0.47-1.1)","2.3","0.13"
"G8766","0.67","1.9 (0.88-4.3)","2.7","0.099"
"G5660","1.9","6.9 (2.8-17)","17","2.9e-05"
"G55905","0.2","1.2 (0.46-3.3)","0.15","0.7"
"G6281","-0.36","0.7 (0.43-1.2)","2","0.16"
