"","beta","HR (95% CI for HR)","wald.test","p.value"
"G8533","0.59","1.8 (0.41-8)","0.61","0.44"
"G9592","0.96","2.6 (0.8-8.6)","2.5","0.11"
"G6397","-1.2","0.3 (0.1-0.89)","4.7","0.031"
"G9414","1.5","4.4 (0.65-29)","2.3","0.13"
"G4599","0.35","1.4 (0.86-2.4)","1.9","0.17"
"G1514","-0.14","0.87 (0.46-1.7)","0.17","0.68"
"G10975","1.6","5 (0.56-44)","2","0.15"
"G23568","0.7","2 (0.56-7.2)","1.2","0.28"
"G54623","-1.3","0.27 (0.034-2.2)","1.5","0.22"
"G706","0.24","1.3 (0.46-3.6)","0.21","0.64"
"G3275","1.1","3.1 (0.99-9.7)","3.8","0.053"
"G9993","0.28","1.3 (0.27-6.6)","0.12","0.73"
"G5899","0.72","2.1 (0.75-5.7)","1.9","0.16"
"G23476","1.3","3.6 (0.31-42)","1","0.31"
"G6687","-1.3","0.26 (0.043-1.6)","2.1","0.15"
"G101930112","-1.1","0.34 (0.07-1.6)","1.8","0.18"
"G3476","-0.15","0.86 (0.27-2.8)","0.06","0.8"
"G4171","0.069","1.1 (0.59-1.9)","0.05","0.82"
"G5184","0.69","2 (0.63-6.4)","1.4","0.24"
"G23647","0.53","1.7 (0.58-4.9)","0.93","0.33"
"G1349","-0.38","0.69 (0.28-1.7)","0.65","0.42"
"G6522","0.99","2.7 (1.4-5.4)","7.9","0.0049"
"G7450","-0.92","0.4 (0.068-2.3)","1","0.31"
"G6643","0.44","1.5 (0.4-6)","0.4","0.53"
"G5977","1.2","3.5 (0.63-19)","2","0.15"
"G392","0.039","1 (0.13-8.3)","0","0.97"
"G8895","0.86","2.4 (1.2-4.8)","5.8","0.016"
"G1175","0.25","1.3 (0.34-4.9)","0.14","0.71"
"G27243","-1.8","0.16 (0.021-1.2)","3.2","0.071"
"G10226","-0.02","0.98 (0.31-3.1)","0","0.97"
"G25","0.19","1.2 (0.31-4.6)","0.07","0.79"
"G66008","1.3","3.6 (1.2-10)","5.6","0.018"
"G8899","1.1","3.1 (1.1-8.7)","4.8","0.028"
"G8780","0.81","2.3 (0.49-10)","1.1","0.3"
"G25937","0.081","1.1 (0.44-2.7)","0.03","0.86"
"G10120","0.21","1.2 (0.21-7.4)","0.05","0.82"
"G7965","-0.35","0.7 (0.15-3.3)","0.2","0.65"
"G8574","-0.068","0.93 (0.34-2.6)","0.02","0.9"
"G1198","-1.2","0.29 (0.048-1.8)","1.8","0.18"
"G10920","0.87","2.4 (0.41-14)","0.95","0.33"
"G158","0.095","1.1 (0.41-3)","0.04","0.85"
"G4061","0.43","1.5 (1-2.4)","3.8","0.052"
"G3475","0.3","1.3 (0.55-3.3)","0.42","0.52"
"G5831","0.06","1.1 (0.48-2.3)","0.02","0.88"
"G10422","0.1","1.1 (0.21-5.8)","0.01","0.91"
"G7392","-0.43","0.65 (0.072-5.9)","0.14","0.7"
"G23636","-0.055","0.95 (0.13-6.9)","0","0.96"
"G10381","0.46","1.6 (0.76-3.3)","1.5","0.22"
"G8021","1.9","6.8 (0.29-160)","1.4","0.23"
"G2193","1.4","4.2 (1.2-14)","5.1","0.023"
"G1387","1.9","6.6 (0.22-200)","1.2","0.27"
"G5585","0.72","2 (0.95-4.4)","3.3","0.069"
"G9337","0.71","2 (0.88-4.7)","2.8","0.095"
"G5504","0.25","1.3 (0.15-11)","0.05","0.82"
"G64210","0.89","2.4 (0.74-7.9)","2.2","0.14"
"G6880","0.44","1.5 (0.51-4.7)","0.59","0.44"
"G102157402","0.35","1.4 (0.33-6)","0.22","0.64"
"G60496","0.14","1.2 (0.28-4.7)","0.04","0.84"
"G7716","1.4","4.1 (0.86-20)","3.1","0.078"
"G5108","-0.84","0.43 (0.12-1.5)","1.7","0.19"
"G79586","0.4","1.5 (0.74-3)","1.3","0.26"
"G2071","-0.14","0.87 (0.16-4.6)","0.03","0.87"
"G5590","0.41","1.5 (0.76-3)","1.4","0.24"
"G642","-0.56","0.57 (0.21-1.5)","1.2","0.26"
"G9961","0.022","1 (0.42-2.5)","0","0.96"
"G9766","-1","0.36 (0.12-1.1)","3.1","0.076"
"G2648","-0.4","0.67 (0.2-2.3)","0.42","0.52"
"G3835","1.2","3.5 (0.98-12)","3.7","0.054"
"G55746","1.4","4 (1.1-15)","4.2","0.04"
"G8985","0.23","1.3 (0.46-3.4)","0.19","0.66"
"G5525","0.43","1.5 (0.38-6.1)","0.37","0.54"
"G9688","0.094","1.1 (0.2-6.1)","0.01","0.91"
"G5725","2.5","12 (1.9-70)","7.2","0.0073"
"G100616459","1.6","5 (1.5-17)","7","0.0084"
"G1477","-0.45","0.64 (0.22-1.8)","0.71","0.4"
"G8522","0.5","1.7 (0.42-6.5)","0.51","0.48"
"G3985","0.0026","1 (0.3-3.3)","0","1"
"G27122","-2.1","0.13 (0.03-0.55)","7.7","0.0056"
"G8897","0.2","1.2 (0.35-4.2)","0.1","0.76"
"G6732","1.4","3.9 (0.81-19)","2.9","0.088"
"G645","-0.51","0.6 (0.26-1.4)","1.4","0.23"
"G3910","-1.2","0.29 (0.022-3.7)","0.92","0.34"
"G267","-0.63","0.53 (0.32-0.91)","5.4","0.02"
"G7408","0.41","1.5 (0.3-7.5)","0.25","0.62"
"G10123","-0.86","0.42 (0.17-1.1)","3.2","0.072"
"G27258","2.3","9.8 (1.3-73)","5","0.026"
"G2931","0.92","2.5 (0.36-17)","0.86","0.35"
"G26286","-0.84","0.43 (0.12-1.6)","1.6","0.2"
"G23481","-0.52","0.59 (0.041-8.6)","0.15","0.7"
"G8450","0.16","1.2 (0.48-2.9)","0.12","0.73"
"G8209","0.74","2.1 (0.79-5.6)","2.2","0.14"
"G9415","0.92","2.5 (0.79-7.9)","2.4","0.12"
"G6535","-0.0031","1 (0.45-2.2)","0","0.99"
"G22889","1","2.7 (1.2-6.2)","5.9","0.015"
"G2033","-0.53","0.59 (0.29-1.2)","2.2","0.13"
"G1674","-0.59","0.55 (0.01-30)","0.09","0.77"
"G3703","-0.27","0.76 (0.4-1.5)","0.64","0.42"
"G1398","1.9","6.4 (1.5-28)","6.2","0.013"
"G10902","0.64","1.9 (0.33-11)","0.51","0.47"
"G27020","0.11","1.1 (0.27-4.6)","0.02","0.88"
"G10480","-0.88","0.41 (0.1-1.7)","1.5","0.22"
"G7388","-0.24","0.79 (0.22-2.9)","0.13","0.72"
"G440567","-0.24","0.79 (0.22-2.9)","0.13","0.72"
"G4837","-0.55","0.58 (0.32-1.1)","3.1","0.078"
"G101928916","-0.46","0.63 (0.38-1)","3.2","0.074"
"G143","0.56","1.8 (0.64-4.8)","1.2","0.27"
"G5347","0.63","1.9 (1-3.4)","4.2","0.04"
"G10221","0.82","2.3 (0.64-8)","1.6","0.21"
"G7102","-0.17","0.85 (0.57-1.3)","0.67","0.41"
"G5692","1.4","4.1 (0.83-21)","3","0.082"
"G4047","1.4","4 (1.4-11)","7","0.0079"
"G1019","1","2.8 (1-7.9)","4.1","0.043"
"G9112","-0.047","0.95 (0.3-3.1)","0.01","0.94"
"G1874","1.1","2.9 (0.38-22)","1","0.31"
"G9129","0.68","2 (0.7-5.5)","1.6","0.2"
"G5872","1.1","2.9 (0.29-28)","0.82","0.36"
"G26037","-0.73","0.48 (0.13-1.8)","1.2","0.27"
"G10421","-0.42","0.66 (0.094-4.6)","0.18","0.67"
"G6812","0.29","1.3 (0.77-2.3)","1.1","0.3"
"G6944","1.8","6.2 (0.76-51)","2.9","0.088"
"G23564","-0.26","0.77 (0.28-2.2)","0.24","0.63"
"G10452","0.97","2.6 (0.75-9.3)","2.3","0.13"
"G648","-1.1","0.35 (0.056-2.1)","1.3","0.25"
"G100532731","-1.1","0.35 (0.056-2.1)","1.3","0.25"
"G51567","0.67","1.9 (0.71-5.3)","1.7","0.2"
"G3918","0.23","1.3 (0.73-2.2)","0.68","0.41"
"G8883","-0.28","0.76 (0.33-1.8)","0.41","0.52"
"G2633","0.23","1.3 (0.54-2.9)","0.29","0.59"
"G5159","0.54","1.7 (0.4-7.3)","0.53","0.47"
"G72","-0.12","0.89 (0.31-2.5)","0.05","0.83"
"G2539","-0.15","0.86 (0.53-1.4)","0.34","0.56"
"G7979","-0.52","0.6 (0.15-2.4)","0.55","0.46"
"G9556","-0.77","0.46 (0.095-2.2)","0.92","0.34"
"G2580","0.56","1.7 (0.45-6.8)","0.65","0.42"
"G3028","-0.54","0.58 (0.17-2)","0.76","0.38"
"G5176","-0.31","0.74 (0.34-1.6)","0.61","0.43"
"G1026","-0.63","0.53 (0.2-1.4)","1.6","0.2"
"G4070","0.2","1.2 (0.29-5.1)","0.08","0.78"
"G2475","0.65","1.9 (0.27-14)","0.42","0.52"
"G11333","-0.23","0.8 (0.24-2.7)","0.14","0.71"
"G4256","-0.24","0.78 (0.57-1.1)","2.2","0.13"
"G11313","1.3","3.6 (0.68-19)","2.2","0.13"
"G10274","-0.7","0.5 (0.12-2.1)","0.9","0.34"
"G1512","-0.083","0.92 (0.53-1.6)","0.09","0.77"
"G11079","-0.019","0.98 (0.22-4.4)","0","0.98"
"G4694","-1.6","0.2 (0.053-0.73)","5.9","0.015"
"G10542","-0.057","0.94 (0.3-3)","0.01","0.92"
"G65117","0.95","2.6 (0.31-22)","0.76","0.38"
"G8467","0.93","2.5 (0.45-14)","1.1","0.29"
"G22862","-0.22","0.8 (0.14-4.7)","0.06","0.81"
"G9637","-0.56","0.57 (0.051-6.3)","0.21","0.65"
"G5436","0.11","1.1 (0.23-5.4)","0.02","0.89"
"G6890","0.1","1.1 (0.48-2.5)","0.06","0.81"
"G4522","-0.35","0.71 (0.23-2.2)","0.36","0.55"
"G5520","-0.8","0.45 (0.087-2.3)","0.91","0.34"
"G1595","0.66","1.9 (0.71-5.3)","1.6","0.2"
"G613","-0.032","0.97 (0.35-2.7)","0","0.95"
"G10277","0.8","2.2 (0.97-5.1)","3.5","0.06"
"G26054","-0.48","0.62 (0.18-2.2)","0.56","0.45"
"G2975","1.6","5.1 (0.8-33)","3","0.085"
"G9453","0.47","1.6 (0.67-3.8)","1.1","0.29"
"G64746","0.11","1.1 (0.47-2.7)","0.06","0.8"
"G522","0.26","1.3 (0.31-5.4)","0.13","0.72"
"G10919","0.69","2 (0.36-11)","0.62","0.43"
"G5310","1.2","3.4 (0.47-24)","1.5","0.23"
"G101930075","0.74","2.1 (0.24-18)","0.46","0.5"
"G1445","-0.56","0.57 (0.16-2)","0.76","0.38"
"G7374","0.05","1.1 (0.43-2.6)","0.01","0.91"
"G593","0.77","2.2 (0.46-10)","0.96","0.33"
"G1454","-1.7","0.19 (0.022-1.5)","2.4","0.12"
"G102800317","-1.4","0.24 (0.036-1.6)","2.2","0.13"
"G7320","0.12","1.1 (0.21-6.2)","0.02","0.89"
"G5066","-0.028","0.97 (0.4-2.3)","0","0.95"
"G11243","1.1","3 (0.91-9.7)","3.3","0.071"
"G3164","-0.62","0.54 (0.14-2.1)","0.8","0.37"
"G23321","0.1","1.1 (0.55-2.2)","0.09","0.77"
"G1329","-0.18","0.83 (0.14-5.1)","0.04","0.84"
"G3297","0.55","1.7 (0.86-3.5)","2.4","0.12"
"G2171","-0.13","0.88 (0.61-1.3)","0.49","0.48"
"G3093","1.8","6.2 (1.3-29)","5.2","0.022"
"G4147","-0.052","0.95 (0.38-2.3)","0.01","0.91"
"G100506558","-0.052","0.95 (0.38-2.3)","0.01","0.91"
"G3685","-0.2","0.82 (0.37-1.8)","0.26","0.61"
"G5718","0.16","1.2 (0.32-4.3)","0.06","0.81"
"G2962","0.43","1.5 (0.33-7.1)","0.3","0.59"
"G629","-0.29","0.75 (0.33-1.7)","0.48","0.49"
"G9794","1.4","4.2 (0.8-22)","2.9","0.089"
"G9632","-0.72","0.48 (0.12-1.9)","1.1","0.3"
"G6695","-0.029","0.97 (0.66-1.4)","0.02","0.88"
"G4601","0.51","1.7 (0.75-3.7)","1.6","0.21"
"G84747","0.37","1.4 (0.16-13)","0.11","0.74"
"G35","-0.5","0.6 (0.04-9.2)","0.13","0.72"
"G1523","0.87","2.4 (0.92-6.2)","3.2","0.073"
"G865","1.4","3.9 (0.68-23)","2.3","0.13"
"G79921","-0.47","0.63 (0.23-1.7)","0.87","0.35"
"G6791","1.2","3.2 (0.98-11)","3.7","0.053"
"G25782","1.5","4.5 (1-20)","4","0.047"
"G9871","-0.52","0.59 (0.22-1.6)","1","0.3"
"G12","-0.054","0.95 (0.67-1.3)","0.09","0.76"
"G10007","-0.098","0.91 (0.16-5)","0.01","0.91"
"G8242","-0.025","0.98 (0.24-4)","0","0.97"
"G6949","1.2","3.2 (0.33-31)","1","0.32"
"G573","-0.33","0.72 (0.34-1.5)","0.78","0.38"
"G5997","-0.066","0.94 (0.43-2)","0.03","0.87"
"G3064","0.77","2.2 (0.52-8.9)","1.1","0.29"
"G10409","-0.61","0.54 (0.21-1.4)","1.6","0.2"
"G23761","-0.39","0.68 (0.11-4.2)","0.18","0.68"
"G102465666","-0.39","0.68 (0.11-4.2)","0.18","0.68"
"G7071","-0.34","0.71 (0.27-1.9)","0.47","0.49"
"G55324","0.29","1.3 (0.29-6.2)","0.14","0.71"
"G101930324","-0.057","0.94 (0.28-3.2)","0.01","0.93"
"G10915","1.4","4.1 (1.1-16)","4.2","0.041"
"G10204","-0.11","0.89 (0.41-1.9)","0.08","0.77"
"G128322","-0.11","0.89 (0.41-1.9)","0.08","0.77"
"G10239","-0.36","0.7 (0.2-2.4)","0.32","0.57"
"G100526783","-0.36","0.7 (0.2-2.4)","0.32","0.57"
"G6722","2.2","9.5 (1.4-66)","5.1","0.023"
"G833","3.4","30 (3.1-300)","8.6","0.0034"
"G1278","0.28","1.3 (0.64-2.7)","0.56","0.45"
"G7073","0.021","1 (0.11-9.4)","0","0.99"
"G26121","0.19","1.2 (0.18-8.2)","0.04","0.85"
"G3481","-0.036","0.96 (0.59-1.6)","0.02","0.88"
"G723961","-0.036","0.96 (0.59-1.6)","0.02","0.88"
"G3429","0.13","1.1 (0.73-1.8)","0.32","0.57"
"G7398","0.79","2.2 (0.78-6.2)","2.2","0.14"
"G2073","0.034","1 (0.33-3.2)","0","0.95"
"G23640","0.6","1.8 (0.44-7.4)","0.69","0.41"
"G9817","0.18","1.2 (0.41-3.5)","0.11","0.74"
"G10897","-0.24","0.79 (0.19-3.2)","0.11","0.74"
"G1660","0.96","2.6 (1.3-5.4)","6.6","0.01"
"G5605","0.81","2.2 (0.93-5.4)","3.3","0.071"
"G5530","0.7","2 (0.91-4.5)","3","0.083"
"G6256","0.78","2.2 (0.49-9.7)","1","0.31"
"G25874","0.46","1.6 (0.57-4.4)","0.77","0.38"
"G1622","1.7","5.4 (0.85-35)","3.2","0.074"
"G5359","0.14","1.2 (0.34-3.9)","0.05","0.82"
"G4609","0.6","1.8 (1.1-3)","5.4","0.02"
"G5532","-0.25","0.78 (0.14-4.4)","0.08","0.78"
"G10237","-0.18","0.83 (0.2-3.5)","0.06","0.8"
"G1545","0.13","1.1 (0.52-2.5)","0.1","0.75"
"G3423","-0.35","0.7 (0.24-2)","0.43","0.51"
"G6764","0.43","1.5 (0.59-4)","0.79","0.37"
"G10613","0.6","1.8 (0.69-4.8)","1.5","0.22"
"G1176","0.83","2.3 (0.64-8.1)","1.6","0.2"
"G4853","-0.5","0.61 (0.17-2.1)","0.6","0.44"
"G1666","-0.24","0.79 (0.35-1.8)","0.33","0.57"
"G10444","1.1","3.1 (0.36-26)","1","0.3"
"G1513","-0.032","0.97 (0.46-2)","0.01","0.93"
"G2965","0.33","1.4 (0.2-9.6)","0.11","0.74"
"G10014","0.23","1.3 (0.19-8.2)","0.06","0.81"
"G9663","-0.19","0.83 (0.38-1.8)","0.24","0.62"
"G8892","-0.029","0.97 (0.28-3.3)","0","0.96"
"G9879","0.52","1.7 (0.35-7.9)","0.42","0.51"
"G53615","0.3","1.3 (0.33-5.5)","0.17","0.68"
"G5209","0.13","1.1 (0.51-2.5)","0.11","0.74"
"G5118","0.025","1 (0.53-2)","0.01","0.94"
"G11044","0.15","1.2 (0.39-3.5)","0.08","0.78"
"G9318","-0.22","0.8 (0.28-2.3)","0.17","0.68"
"G8727","1","2.7 (0.79-9.4)","2.5","0.11"
"G11052","0.95","2.6 (0.7-9.5)","2","0.16"
"G3421","-2.7","0.065 (0.0067-0.63)","5.6","0.018"
"G4351","0.098","1.1 (0.26-4.8)","0.02","0.89"
"G3054","0.048","1 (0.042-26)","0","0.98"
"G10430","-0.89","0.41 (0.11-1.6)","1.6","0.2"
"G10844","2.1","8.1 (0.78-84)","3.1","0.079"
"G28951","-0.43","0.65 (0.36-1.2)","1.9","0.17"
"G9191","1.1","3 (0.63-15)","1.9","0.17"
"G9249","-0.48","0.62 (0.25-1.6)","1","0.31"
"G5902","0.12","1.1 (0.18-7.2)","0.02","0.9"
"G8932","-4.8","0.008 (0.00018-0.35)","6.2","0.013"
"G94239","0.42","1.5 (0.38-6.1)","0.35","0.56"
"G5349","-0.3","0.74 (0.46-1.2)","1.6","0.21"
"G8518","0.53","1.7 (0.15-19)","0.19","0.67"
"G79065","0.83","2.3 (0.72-7.3)","2","0.16"
"G1442","0.46","1.6 (0.13-19)","0.13","0.72"
"G1444","0.58","1.8 (0.14-23)","0.2","0.65"
"G2688","0.32","1.4 (0.083-23)","0.05","0.82"
"G10450","0.35","1.4 (0.17-12)","0.11","0.74"
"G6903","1.5","4.4 (1-19)","4.1","0.044"
"G23644","0.16","1.2 (0.25-5.5)","0.04","0.84"
"G6515","-0.13","0.87 (0.49-1.6)","0.21","0.65"
"G3300","-0.64","0.53 (0.15-1.9)","0.98","0.32"
"G10982","1.5","4.5 (0.59-35)","2.1","0.15"
"G34","0.29","1.3 (0.42-4.3)","0.25","0.62"
"G9768","0.29","1.3 (0.68-2.6)","0.69","0.41"
"G23650","-0.27","0.76 (0.33-1.8)","0.4","0.52"
"G6744","0.82","2.3 (0.6-8.6)","1.5","0.22"
"G7127","-0.65","0.52 (0.21-1.3)","2","0.16"
"G9474","-0.042","0.96 (0.23-3.9)","0","0.95"
"G5528","1.8","5.9 (1.1-32)","4.3","0.039"
"G1739","0.85","2.3 (0.68-8)","1.8","0.18"
"G1400","0.93","2.5 (1.1-5.8)","4.9","0.027"
"G9275","0.97","2.6 (0.83-8.3)","2.7","0.1"
"G4292","0.71","2 (0.34-12)","0.61","0.44"
"G10664","1.2","3.2 (0.64-16)","2","0.16"
"G23760","0.7","2 (0.23-18)","0.39","0.53"
"G9806","-0.23","0.8 (0.19-3.4)","0.1","0.76"
"G5652","0.13","1.1 (0.73-1.8)","0.32","0.57"
"G1432","1.3","3.8 (0.95-15)","3.6","0.059"
"G3659","-0.43","0.65 (0.25-1.7)","0.77","0.38"
"G1719","0.37","1.4 (0.52-4)","0.49","0.48"
"G8772","1.4","3.9 (0.93-17)","3.5","0.063"
"G25978","1.6","5.1 (0.93-28)","3.5","0.06"
"G3156","1.6","4.9 (1.4-17)","6.2","0.013"
"G9255","1.1","3 (0.75-12)","2.4","0.12"
"G2764","-0.087","0.92 (0.37-2.3)","0.03","0.85"
"G5580","0.26","1.3 (0.5-3.4)","0.29","0.59"
"G8673","0.39","1.5 (0.62-3.5)","0.77","0.38"
"G9217","-0.73","0.48 (0.13-1.8)","1.2","0.27"
"G51232","-0.048","0.95 (0.42-2.2)","0.01","0.91"
"G101929500","-0.2","0.82 (0.35-1.9)","0.22","0.64"
"G2947","0.43","1.5 (0.67-3.5)","1","0.31"
"G10445","1.4","4.2 (0.92-19)","3.4","0.063"
"G6782","-0.59","0.55 (0.25-1.2)","2.1","0.14"
"G26097","2","7.3 (1.2-45)","4.5","0.033"
"G11161","-1.1","0.34 (0.065-1.8)","1.6","0.2"
"G402","-0.67","0.51 (0.18-1.5)","1.5","0.22"
"G6840","-0.072","0.93 (0.26-3.3)","0.01","0.91"
"G6634","-0.31","0.73 (0.21-2.6)","0.23","0.63"
"G4140","-0.048","0.95 (0.26-3.5)","0.01","0.94"
"G1455","-0.42","0.66 (0.15-2.8)","0.32","0.57"
"G1382","0.11","1.1 (0.84-1.5)","0.6","0.44"
"G11269","1.5","4.5 (0.74-27)","2.7","0.1"
"G10473","0.38","1.5 (0.21-10)","0.15","0.7"
"G2305","0.11","1.1 (0.7-1.8)","0.21","0.65"
"G10048","1.3","3.7 (1.1-12)","4.7","0.03"
"G5441","-0.7","0.5 (0.11-2.3)","0.81","0.37"
"G203","0.51","1.7 (0.67-4.1)","1.2","0.27"
"G5164","0.95","2.6 (0.78-8.6)","2.4","0.12"
"G2647","0.72","2.1 (0.67-6.3)","1.6","0.21"
"G51573","0.59","1.8 (0.77-4.2)","1.8","0.17"
"G23484","-0.61","0.54 (0.18-1.6)","1.2","0.28"
"G2029","1.5","4.6 (1.1-18)","4.6","0.032"
"G6284","1.4","4.1 (0.88-19)","3.2","0.073"
"G8204","1","2.9 (1.1-7.5)","4.5","0.034"
"G27336","0.79","2.2 (0.55-8.9)","1.2","0.26"
"G102","0.28","1.3 (0.55-3.1)","0.38","0.54"
"G2990","-0.15","0.86 (0.21-3.5)","0.04","0.84"
"G9874","-0.16","0.85 (0.083-8.6)","0.02","0.89"
"G2059","-0.13","0.88 (0.5-1.5)","0.19","0.66"
"G9282","0.38","1.5 (0.15-15)","0.11","0.74"
"G1503","-0.093","0.91 (0.39-2.1)","0.05","0.83"
"G10463","0.27","1.3 (0.46-3.7)","0.25","0.62"
"G2776","0.22","1.3 (0.46-3.4)","0.19","0.66"
"G4204","-1.6","0.21 (0.023-1.8)","2","0.16"
"G5352","0.11","1.1 (0.72-1.7)","0.23","0.63"
"G3661","0.83","2.3 (0.81-6.4)","2.5","0.12"
"G6311","0.87","2.4 (0.52-11)","1.2","0.26"
"G55837","0.031","1 (0.41-2.6)","0","0.95"
"G23523","0.61","1.8 (0.66-5.1)","1.4","0.25"
"G4067","0.61","1.8 (0.79-4.3)","2","0.16"
"G10513","-0.29","0.74 (0.1-5.5)","0.08","0.77"
"G1801","0.23","1.3 (0.21-7.8)","0.06","0.8"
"G124641","0.23","1.3 (0.21-7.8)","0.06","0.8"
"G11073","-0.59","0.55 (0.21-1.5)","1.4","0.23"
"G5440","0.61","1.8 (0.57-5.9)","1","0.31"
"G3383","0.16","1.2 (0.72-1.9)","0.41","0.52"
"G8498","2","7.6 (1.3-43)","5.3","0.022"
"G8295","1.2","3.4 (1.3-9.1)","6.2","0.013"
"G7128","-0.2","0.82 (0.41-1.6)","0.34","0.56"
"G4221","0.76","2.1 (0.72-6.3)","1.9","0.17"
"G7812","0.27","1.3 (0.46-3.8)","0.26","0.61"
"G4893","0.63","1.9 (0.62-5.7)","1.3","0.26"
"G6929","1.1","3.1 (0.26-36)","0.79","0.37"
"G6223","0.6","1.8 (0.26-12)","0.37","0.54"
"G9772","-0.79","0.46 (0.046-4.5)","0.46","0.5"
"G102466911","-0.79","0.46 (0.046-4.5)","0.46","0.5"
"G322","0.47","1.6 (0.38-6.6)","0.41","0.52"
"G7873","-0.37","0.69 (0.27-1.8)","0.57","0.45"
"G9792","-0.0079","0.99 (0.3-3.2)","0","0.99"
"G8799","0.093","1.1 (0.48-2.5)","0.05","0.82"
"G5699","-0.031","0.97 (0.37-2.5)","0","0.95"
"G3709","0.14","1.2 (0.36-3.7)","0.06","0.81"
"G7456","-0.58","0.56 (0.23-1.4)","1.6","0.2"
"G86","0.31","1.4 (0.56-3.3)","0.45","0.5"
"G7922","-0.52","0.59 (0.28-1.2)","1.9","0.16"
"G1948","0.087","1.1 (0.64-1.9)","0.1","0.75"
"G5604","-0.32","0.73 (0.26-2)","0.38","0.54"
"G8813","-0.48","0.62 (0.24-1.6)","1","0.32"
"G6390","-0.52","0.59 (0.06-5.8)","0.2","0.65"
"G10922","0.51","1.7 (0.49-5.6)","0.65","0.42"
"G5921","0.14","1.2 (0.59-2.2)","0.17","0.68"
"G2958","-0.12","0.89 (0.25-3.1)","0.04","0.85"
"G4864","-0.23","0.8 (0.21-3.1)","0.11","0.74"
"G2961","-0.66","0.52 (0.16-1.6)","1.3","0.26"
"G7375","-0.52","0.6 (0.079-4.5)","0.25","0.62"
"G100422952","-0.087","0.92 (0.14-6)","0.01","0.93"
"G8731","0.0098","1 (0.33-3.1)","0","0.99"
"G558","-0.46","0.63 (0.14-2.8)","0.37","0.54"
"G8743","-0.0026","1 (0.59-1.7)","0","0.99"
"G29890","1.2","3.4 (0.49-23)","1.5","0.22"
"G6632","0.054","1.1 (0.43-2.6)","0.01","0.9"
"G9263","-0.082","0.92 (0.49-1.7)","0.07","0.8"
"G9943","1.1","3.1 (0.72-14)","2.3","0.13"
"G11051","0.51","1.7 (0.6-4.7)","0.96","0.33"
"G9725","0.46","1.6 (0.55-4.6)","0.74","0.39"
"G7726","0.52","1.7 (0.45-6.3)","0.59","0.44"
"G8446","-0.026","0.97 (0.13-7.1)","0","0.98"
"G10140","-0.39","0.68 (0.33-1.4)","1.1","0.3"
"G9133","0.45","1.6 (0.39-6.3)","0.4","0.53"
"G7372","0.19","1.2 (0.14-10)","0.03","0.86"
"G8349","-0.18","0.83 (0.5-1.4)","0.47","0.49"
"G2331","-0.64","0.53 (0.21-1.3)","1.9","0.17"
"G10282","0.14","1.1 (0.52-2.5)","0.11","0.73"
"G1947","-0.78","0.46 (0.062-3.3)","0.6","0.44"
"G1159","0.066","1.1 (0.71-1.6)","0.1","0.75"
"G548596","0.066","1.1 (0.71-1.6)","0.1","0.75"
"G5687","-0.19","0.82 (0.36-1.9)","0.21","0.65"
"G9692","-0.17","0.84 (0.34-2.1)","0.14","0.71"
"G5770","-1.3","0.28 (0.026-3)","1.1","0.3"
"G8881","0.5","1.7 (0.49-5.5)","0.66","0.41"
"G3485","-0.27","0.76 (0.52-1.1)","1.9","0.17"
"G26136","1.3","3.5 (0.89-14)","3.2","0.073"
"G2673","0.027","1 (0.4-2.6)","0","0.96"
"G2308","-1.1","0.32 (0.11-0.98)","4","0.045"
"G5430","3.5","34 (1.3-870)","4.6","0.033"
"G3978","-0.15","0.86 (0.2-3.7)","0.04","0.84"
"G3459","0.6","1.8 (0.89-3.8)","2.7","0.1"
"G4052","-0.99","0.37 (0.16-0.84)","5.6","0.018"
"G100616113","0.051","1.1 (0.32-3.4)","0.01","0.93"
"G11142","-0.67","0.51 (0.26-1)","3.8","0.052"
"G9322","0.46","1.6 (0.86-2.9)","2.2","0.14"
"G10682","0.44","1.6 (0.26-9.4)","0.23","0.63"
"G25804","0.21","1.2 (0.3-5.1)","0.08","0.77"
"G5257","0.16","1.2 (0.56-2.5)","0.17","0.68"
"G95","0.4","1.5 (0.32-6.9)","0.26","0.61"
"G100526760","0.39","1.5 (0.58-3.7)","0.68","0.41"
"G5567","-0.15","0.86 (0.5-1.5)","0.3","0.58"
"G8503","-0.41","0.67 (0.29-1.5)","0.94","0.33"
"G6575","0.7","2 (0.95-4.3)","3.3","0.069"
"G9101","-0.46","0.63 (0.24-1.7)","0.87","0.35"
"G9452","-0.25","0.78 (0.49-1.2)","1.2","0.28"
"G2634","-0.38","0.68 (0.28-1.7)","0.69","0.41"
"G7485","0.75","2.1 (1.1-3.9)","5.7","0.017"
"G24144","0.94","2.6 (0.52-13)","1.3","0.25"
"G23428","0.26","1.3 (0.48-3.5)","0.27","0.6"
"G23518","0.36","1.4 (0.29-7.1)","0.2","0.66"
"G2817","-0.11","0.89 (0.32-2.5)","0.04","0.83"
"G25920","0.43","1.5 (0.73-3.2)","1.3","0.25"
"G8625","0.46","1.6 (0.48-5.2)","0.57","0.45"
"G9475","1.2","3.4 (0.89-13)","3.2","0.073"
"G836","0.29","1.3 (0.33-5.4)","0.17","0.68"
"G2200","-0.6","0.55 (0.24-1.2)","2.1","0.14"
