"","beta","HR (95% CI for HR)","wald.test","p.value"
"G255411","-1","0.37 (0.04-3.4)","0.79","0.37"
"G60598","-0.061","0.94 (0.36-2.5)","0.02","0.9"
"G101928513","-0.15","0.86 (0.22-3.4)","0.05","0.83"
"G10241","-0.54","0.58 (0.18-1.9)","0.8","0.37"
"G246312","1.5","4.7 (0.25-87)","1.1","0.3"
"G100286989","-1.2","0.29 (0.019-4.5)","0.79","0.38"
"G121952","1","2.8 (0.26-31)","0.73","0.39"
"G7259","-0.11","0.9 (0.17-4.7)","0.02","0.9"
"G283011","-2.3","0.099 (0.004-2.5)","2","0.16"
"G101928327","1.3","3.6 (0.11-110)","0.52","0.47"
"G7075","0.32","1.4 (0.58-3.3)","0.51","0.47"
"G150759","-0.64","0.53 (0.21-1.3)","1.8","0.18"
"G59342","-0.85","0.43 (0.14-1.3)","2.3","0.13"
"G85367","0.78","2.2 (0.53-8.9)","1.2","0.28"
"G101929591","1.5","4.6 (0.092-230)","0.58","0.45"
"G283514","0.34","1.4 (0.2-9.8)","0.12","0.73"
"G100506328","1.3","3.7 (0.65-21)","2.2","0.14"
"G606","0.88","2.4 (0.083-70)","0.26","0.61"
"G3681","1.7","5.3 (1.1-26)","4.3","0.037"
"G208","0.21","1.2 (0.43-3.5)","0.15","0.7"
"G101927889","0.75","2.1 (0.12-38)","0.26","0.61"
"G285878","-0.65","0.52 (0.034-8)","0.22","0.64"
"G113402","-0.87","0.42 (0.067-2.6)","0.87","0.35"
"G79691","-1.1","0.34 (0.031-3.6)","0.81","0.37"
"G283392","1.2","3.4 (0.12-98)","0.51","0.47"
"G201229","-0.37","0.69 (0.27-1.8)","0.58","0.45"
"G81894","-1.1","0.33 (0.044-2.5)","1.2","0.28"
"G4739","-0.11","0.89 (0.39-2)","0.07","0.79"
"G283856","0.35","1.4 (0.11-18)","0.07","0.79"
"G132724","0.9","2.5 (0.9-6.7)","3.1","0.078"
"G399821","-2.5","0.086 (0.0066-1.1)","3.5","0.061"
"G283208","0.57","1.8 (0.62-5)","1.1","0.29"
"G101929745","-0.79","0.46 (0.024-8.5)","0.28","0.6"
"G8569","0.56","1.7 (0.48-6.4)","0.71","0.4"
"G283731","0.73","2.1 (0.36-12)","0.66","0.42"
"G26092","-0.45","0.64 (0.23-1.7)","0.78","0.38"
"G101928376","-0.1","0.9 (0.12-6.8)","0.01","0.92"
"G399671","1.1","2.9 (0.6-14)","1.8","0.19"
"G29880","-1.2","0.3 (0.046-2)","1.5","0.22"
"G283694","-2","0.13 (0.0025-7.1)","0.98","0.32"
"G727924","-2.5","0.083 (0.001-6.8)","1.2","0.27"
"G101927079","-2.5","0.083 (0.001-6.8)","1.2","0.27"
"G102723532","0.53","1.7 (0.075-38)","0.11","0.74"
"G8926","0.42","1.5 (0.63-3.7)","0.88","0.35"
"G374987","-0.97","0.38 (0.01-14)","0.28","0.6"
"G151121","3.2","23 (3.6-150)","11","0.00097"
"G26190","-0.95","0.39 (0.075-2)","1.3","0.26"
"G112616","0.43","1.5 (0.64-3.7)","0.92","0.34"
"G116447","-1.1","0.33 (0.066-1.6)","1.8","0.18"
"G101927988","-4.3","0.013 (0.00012-1.4)","3.3","0.07"
"G285972","-0.13","0.88 (0.35-2.2)","0.08","0.78"
"G285834","1.2","3.3 (0.85-13)","3","0.083"
"G26986","-0.64","0.53 (0.08-3.5)","0.43","0.51"
"G9229","-0.17","0.84 (0.22-3.2)","0.06","0.8"
"G102724716","-2","0.14 (0.0031-6)","1.1","0.3"
"G374900","2.6","14 (0.53-360)","2.5","0.11"
"G144132","-1.2","0.29 (0.016-5.5)","0.68","0.41"
"G8444","-0.51","0.6 (0.1-3.4)","0.33","0.56"
"G101929143","-0.0066","0.99 (0.18-5.5)","0","0.99"
"G283685","-1.4","0.25 (0.023-2.8)","1.3","0.26"
"G101928809","-0.67","0.51 (0.013-19)","0.13","0.72"
"G100507404","1.3","3.6 (0.29-45)","1","0.32"
"G101927830","1.3","3.6 (0.29-45)","1","0.32"
"G55567","-0.43","0.65 (0.067-6.4)","0.13","0.71"
"G150527","0.18","1.2 (0.27-5.3)","0.06","0.81"
"G646743","0.18","1.2 (0.27-5.3)","0.06","0.81"
"G101927735","2.4","11 (0.54-230)","2.4","0.12"
"G101928708","0.45","1.6 (0.2-12)","0.19","0.67"
"G58504","0.98","2.7 (0.8-8.9)","2.5","0.11"
"G340017","-3.5","0.03 (0.00041-2.2)","2.5","0.11"
"G101928725","1.7","5.3 (1.1-25)","4.4","0.035"
"G147646","1","2.7 (0.55-14)","1.5","0.22"
"G101927715","-0.34","0.71 (0.099-5.1)","0.12","0.73"
"G643648","-1.6","0.21 (0.008-5.4)","0.89","0.35"
"G101927827","-1.6","0.21 (0.008-5.4)","0.89","0.35"
"G196475","-0.38","0.68 (0.035-13)","0.06","0.8"
"G101929582","0.63","1.9 (0.2-18)","0.3","0.58"
"G222826","0.35","1.4 (0.045-45)","0.04","0.84"
"G389247","0.14","1.1 (0.21-6.3)","0.03","0.87"
"G100507064","0.73","2.1 (0.08-54)","0.19","0.66"
"G101927490","-0.67","0.51 (0.04-6.4)","0.27","0.6"
"G101926959","-0.17","0.84 (0.6-1.2)","0.99","0.32"
"G414260","-1.6","0.2 (0.012-3.4)","1.2","0.27"
"G664701","-0.44","0.65 (0.3-1.4)","1.2","0.27"
"G51427","0.27","1.3 (0.46-3.7)","0.25","0.62"
"G100874239","-1.6","0.2 (0.016-2.4)","1.6","0.2"
"G101929684","1.5","4.3 (0.8-23)","2.9","0.09"
"G84766","0.19","1.2 (0.36-4.1)","0.09","0.77"
"G83849","-0.41","0.66 (0.22-2)","0.54","0.46"
"G54089","0.029","1 (0.15-6.9)","0","0.98"
"G6568","0.73","2.1 (0.019-220)","0.09","0.76"
"G100505875","0.41","1.5 (0.66-3.4)","0.95","0.33"
"G645188","-0.6","0.55 (0.026-12)","0.15","0.7"
"G386678","0.72","2.1 (0.41-10)","0.77","0.38"
"G100133461","-0.1","0.9 (0.21-4)","0.02","0.89"
"G389043","2.5","12 (0.94-150)","3.7","0.056"
"G23333","-0.78","0.46 (0.19-1.1)","2.9","0.09"
"G102725382","1.7","5.7 (0.93-35)","3.5","0.06"
"G169841","-0.21","0.81 (0.071-9.2)","0.03","0.87"
"G151657","-0.0058","0.99 (0.27-3.6)","0","0.99"
"G403150","-1.3","0.28 (0.024-3.3)","1","0.31"
"G284669","1.1","3 (0.39-23)","1.1","0.29"
"G6251","1.7","5.7 (0.44-73)","1.8","0.18"
"G100129845","0.23","1.3 (0.42-3.7)","0.17","0.68"
"G100506680","-3.7","0.024 (0.00042-1.4)","3.2","0.073"
"G5226","-0.032","0.97 (0.26-3.6)","0","0.96"
"G163742","-1.2","0.31 (0.025-3.9)","0.81","0.37"
"G100127950","-2","0.13 (0.0029-5.7)","1.1","0.29"
"G101928167","1.4","4 (0.12-130)","0.62","0.43"
"G101928626","-1.4","0.25 (0.016-4.1)","0.94","0.33"
"G101928516","1.3","3.5 (0.59-21)","1.9","0.17"
"G4842","0.37","1.4 (0.59-3.5)","0.66","0.42"
"G23786","0.074","1.1 (0.16-7.4)","0.01","0.94"
"G100861551","1.4","4.2 (0.22-79)","0.9","0.34"
"G400590","1.2","3.2 (0.076-140)","0.38","0.54"
"G439949","-0.58","0.56 (0.1-3)","0.46","0.5"
"G4129","-0.6","0.55 (0.16-1.9)","0.93","0.33"
"G101927821","1.4","4 (0.61-26)","2.1","0.15"
"G79905","0.11","1.1 (0.13-9.3)","0.01","0.92"
"G101927211","1.2","3.3 (0.13-81)","0.54","0.46"
"G347344","1.1","2.9 (0.14-61)","0.49","0.49"
"G57690","-0.15","0.86 (0.08-9.2)","0.02","0.9"
"G27161","0.55","1.7 (0.8-3.8)","2","0.16"
"G286109","0.63","1.9 (0.76-4.6)","1.9","0.17"
"G101928973","0.86","2.4 (0.15-38)","0.37","0.54"
"G57038","0.81","2.2 (0.31-16)","0.64","0.42"
"G100874305","1.3","3.5 (0.67-18)","2.2","0.14"
"G64770","-0.92","0.4 (0.1-1.6)","1.7","0.19"
"G100507534","0.78","2.2 (0.17-28)","0.36","0.55"
"G152024","3.5","32 (1.5-720)","4.8","0.028"
"G101929752","1.3","3.8 (0.59-25)","2","0.16"
"G729506","1.1","3 (0.9-9.8)","3.2","0.074"
"G101928850","2.2","9.4 (0.43-210)","2","0.16"
"G101060553","-0.023","0.98 (0.11-8.9)","0","0.98"
"G23243","-0.27","0.76 (0.41-1.4)","0.74","0.39"
"G7296","-0.081","0.92 (0.38-2.2)","0.03","0.86"
"G4811","0.48","1.6 (0.92-2.9)","2.8","0.094"
"G101927350","-0.97","0.38 (0.024-6.1)","0.47","0.49"
"G153910","0.33","1.4 (0.13-14)","0.08","0.78"
"G2070","-0.2","0.82 (0.29-2.3)","0.14","0.71"
"G400654","-0.46","0.63 (0.019-21)","0.07","0.8"
"G101928684","-1.3","0.27 (0.022-3.3)","1.1","0.3"
"G387601","0.74","2.1 (0.15-30)","0.3","0.58"
"G285419","-0.061","0.94 (0.33-2.7)","0.01","0.91"
"G641365","-2","0.13 (0.0041-4.2)","1.3","0.25"
"G642757","-0.4","0.67 (0.054-8.4)","0.1","0.76"
"G153469","0.21","1.2 (0.11-13)","0.03","0.86"
"G101929488","-0.091","0.91 (0.23-3.6)","0.02","0.9"
"G101929757","-0.47","0.62 (0.086-4.5)","0.22","0.64"
"G101926962","2.6","14 (1.5-120)","5.5","0.019"
"G5010","0.25","1.3 (0.52-3.2)","0.3","0.59"
"G100131814","-1.6","0.2 (0.019-2.1)","1.8","0.18"
"G25902","1.1","3.1 (0.92-11)","3.3","0.068"
"G642394","1","2.8 (0.62-12)","1.8","0.18"
"G60625","-0.08","0.92 (0.15-5.7)","0.01","0.93"
"G2996","-1.2","0.29 (0.0024-35)","0.26","0.61"
"G101929504","0.65","1.9 (1.3-2.9)","10","0.0014"
"G55737","0.51","1.7 (0.62-4.5)","1","0.31"
"G245911","1.4","4 (0.16-97)","0.71","0.4"
"G727832","-0.44","0.64 (0.045-9.1)","0.11","0.74"
"G283767","0.17","1.2 (0.25-5.7)","0.04","0.84"
"G440243","0.17","1.2 (0.25-5.7)","0.04","0.84"
"G283482","1.3","3.6 (0.38-34)","1.2","0.27"
"G155185","1","2.7 (0.5-15)","1.4","0.24"
"G246122","0.53","1.7 (0.16-18)","0.19","0.66"
"G51265","0.35","1.4 (0.14-15)","0.09","0.77"
"G442028","0.031","1 (0.16-6.8)","0","0.97"
"G644316","0.031","1 (0.16-6.8)","0","0.97"
"G101927088","0.031","1 (0.16-6.8)","0","0.97"
"G101927527","0.031","1 (0.16-6.8)","0","0.97"
"G101929518","0.031","1 (0.16-6.8)","0","0.97"
"G57563","-0.25","0.78 (0.4-1.5)","0.51","0.48"
"G101928539","1.2","3.2 (0.1-100)","0.43","0.51"
"G101930541","-1.6","0.2 (0.014-2.9)","1.4","0.24"
"G101927295","-0.2","0.82 (0.016-43)","0.01","0.92"
"G101928961","1.8","5.9 (0.29-120)","1.3","0.25"
"G728099","0.61","1.8 (0.28-12)","0.4","0.53"
"G283432","-0.79","0.45 (0.01-21)","0.17","0.68"
"G101927228","2.6","14 (1.4-140)","5","0.026"
"G338579","1.5","4.3 (0.095-200)","0.56","0.45"
"G2829","-0.59","0.55 (0.074-4.1)","0.33","0.57"
"G100506122","-0.34","0.71 (0.079-6.4)","0.09","0.76"
"G100270680","2.1","8.6 (0.76-97)","3","0.082"
"G283387","-0.56","0.57 (0.14-2.3)","0.64","0.42"
"G101929657","1.3","3.5 (0.3-40)","1","0.32"
"G5828","-0.97","0.38 (0.1-1.4)","2.1","0.15"
"G284186","0.38","1.5 (0.24-8.8)","0.17","0.68"
"G102724612","1.5","4.5 (0.44-46)","1.6","0.2"
"G101927112","0.96","2.6 (0.17-40)","0.48","0.49"
"G100128285","-0.47","0.63 (0.093-4.2)","0.23","0.63"
"G285577","1.2","3.3 (0.28-39)","0.89","0.35"
"G648691","0.8","2.2 (0.21-24)","0.44","0.51"
"G101927901","-1.1","0.34 (0.034-3.4)","0.84","0.36"
"G340340","0.18","1.2 (0.77-1.9)","0.63","0.43"
"G286083","-0.35","0.7 (0.12-4.2)","0.15","0.7"
"G101929025","1.6","5.1 (0.47-55)","1.8","0.18"
"G114899","0.67","1.9 (1-3.7)","4","0.046"
"G100507033","-0.37","0.69 (0.11-4.5)","0.15","0.7"
"G9771","-0.65","0.52 (0.15-1.8)","1.1","0.3"
"G353088","0.55","1.7 (0.22-13)","0.27","0.6"
"G100874365","-0.59","0.55 (0.087-3.6)","0.39","0.53"
"G1416","0.1","1.1 (0.19-6.4)","0.01","0.91"
"G80005","0.28","1.3 (0.46-3.8)","0.28","0.6"
"G339298","-1.3","0.29 (0.02-4)","0.87","0.35"
"G284576","-0.68","0.51 (0.053-4.8)","0.35","0.56"
"G100861545","2.2","8.6 (0.47-160)","2.1","0.15"
"G100859921","3.1","23 (2-260)","6.4","0.012"
"G286370","2.2","9.2 (0.47-180)","2.1","0.14"
"G339622","-2.6","0.071 (0.0011-4.5)","1.6","0.21"
"G100128554","1.1","3.1 (0.11-85)","0.44","0.51"
"G10352","-0.87","0.42 (0.097-1.8)","1.4","0.24"
"G101927176","1.1","2.9 (0.37-23)","1","0.31"
"G151877","-0.84","0.43 (0.063-3)","0.73","0.39"
"G100506172","-0.11","0.9 (0.023-36)","0","0.95"
"G100422781","0.19","1.2 (0.23-6.3)","0.05","0.82"
"G101927849","-0.93","0.39 (0.06-2.6)","0.95","0.33"
"G161497","-0.47","0.63 (0.016-25)","0.06","0.8"
"G101930630","1.5","4.5 (0.39-53)","1.5","0.23"
"G101927876","-1.4","0.26 (0.017-4)","0.94","0.33"
"G100309464","-1.5","0.23 (0.013-4.1)","1","0.31"
"G101927450","5.7","300 (9.8-9000)","11","0.0011"
"G339975","0.85","2.4 (0.37-15)","0.82","0.37"
"G401288","0.18","1.2 (0.3-4.8)","0.06","0.8"
"G101927704","-2.4","0.095 (0.003-3)","1.8","0.18"
"G147409","1.9","6.5 (0.73-58)","2.8","0.093"
"G339476","-1.7","0.18 (0.0029-11)","0.68","0.41"
"G344905","0.39","1.5 (0.32-6.7)","0.25","0.61"
"G285181","0.17","1.2 (0.14-10)","0.02","0.88"
"G440602","-0.11","0.9 (0.19-4.3)","0.02","0.89"
"G1776","-0.24","0.79 (0.33-1.8)","0.31","0.58"
"G101927273","-0.39","0.67 (0.096-4.7)","0.16","0.69"
"G150005","-0.79","0.46 (0.0073-28)","0.14","0.71"
"G101928009","0.99","2.7 (0.29-25)","0.76","0.38"
"G101927166","1.1","3.1 (0.58-16)","1.8","0.19"
"G339874","-2.2","0.11 (0.0055-2)","2.2","0.14"
"G101927528","-0.17","0.85 (0.16-4.6)","0.04","0.85"
"G101927690","1.5","4.5 (0.27-74)","1.1","0.3"
"G692247","-1.3","0.28 (0.071-1.1)","3.4","0.063"
"G200081","1.8","6 (0.89-41)","3.4","0.066"
"G101928661","2.2","9.4 (0.92-96)","3.6","0.059"
"G285349","2.8","16 (2.5-98)","8.7","0.0032"
"G8829","-0.18","0.84 (0.33-2.1)","0.14","0.71"
"G100506622","-0.51","0.6 (0.2-1.8)","0.83","0.36"
"G100505716","2.1","8 (1.1-58)","4.3","0.039"
"G441355","1.3","3.7 (0.56-24)","1.8","0.18"
"G285796","-1","0.36 (0.03-4.2)","0.67","0.41"
"G374470","-0.14","0.87 (0.097-7.8)","0.02","0.9"
"G284661","0.57","1.8 (0.078-40)","0.13","0.72"
"G101928205","1","2.7 (0.54-14)","1.5","0.22"
"G340618","-0.21","0.81 (0.24-2.8)","0.11","0.74"
"G100302526","-0.21","0.81 (0.24-2.8)","0.11","0.74"
"G100128126","0.47","1.6 (0.4-6.3)","0.44","0.51"
"G85449","1.7","5.6 (1.6-19)","7.4","0.0066"
"G285220","0.42","1.5 (0.15-15)","0.13","0.72"
"G100996590","1","2.7 (0.15-50)","0.45","0.5"
"G101927017","1.3","3.6 (0.38-35)","1.2","0.26"
"G285627","-0.23","0.79 (0.099-6.3)","0.05","0.82"
"G339894","-0.25","0.78 (0.13-4.6)","0.07","0.79"
"G402381","0.23","1.3 (0.57-2.8)","0.33","0.57"
"G116984","-0.78","0.46 (0.13-1.6)","1.5","0.22"
"G101928667","-0.78","0.46 (0.13-1.6)","1.5","0.22"
"G102800316","-0.6","0.55 (0.061-4.9)","0.28","0.59"
"G101927096","-0.43","0.65 (0.088-4.8)","0.18","0.67"
"G401497","1.8","6.1 (0.19-200)","1","0.31"
"G101928245","-0.6","0.55 (0.17-1.8)","0.98","0.32"
"G101927051","-0.7","0.5 (0.037-6.7)","0.28","0.6"
"G642924","0.17","1.2 (0.11-13)","0.02","0.89"
"G101928907","0.77","2.2 (0.21-23)","0.41","0.52"
"G101928333","0.67","2 (0.14-27)","0.25","0.62"
"G285103","0.6","1.8 (0.48-6.9)","0.79","0.38"
"G101927877","1.6","5 (1-25)","3.8","0.051"
"G728012","0.77","2.2 (0.071-66)","0.19","0.66"
"G283585","0.85","2.3 (0.16-34)","0.39","0.53"
"G101928443","0.27","1.3 (0.32-5.3)","0.15","0.7"
"G101928618","-1.5","0.23 (0.0077-7.1)","0.7","0.4"
"G101928551","3.1","22 (0.42-1100)","2.3","0.13"
"G101929123","-0.6","0.55 (0.064-4.7)","0.3","0.58"
"G284294","0.04","1 (0.56-1.9)","0.02","0.9"
"G101929526","-0.36","0.7 (0.1-4.8)","0.14","0.71"
"G101928185","0.63","1.9 (0.36-9.7)","0.56","0.45"
"G101928865","-0.73","0.48 (0.026-8.9)","0.24","0.62"
"G441009","0.16","1.2 (0.094-15)","0.01","0.9"
"G728805","1.8","6.1 (1.1-34)","4.4","0.037"
"G102546226","-2.6","0.075 (0.0029-2)","2.4","0.12"
"G101929312","0.48","1.6 (0.14-19)","0.15","0.7"
"G101929083","1.6","4.8 (1.2-20)","4.8","0.029"
"G100861553","0.55","1.7 (0.19-16)","0.24","0.63"
"G101928435","-0.22","0.8 (0.1-6.5)","0.04","0.84"
"G6093","-2","0.13 (0.017-1)","3.8","0.05"
"G55843","-0.62","0.54 (0.19-1.5)","1.4","0.23"
"G101928361","-0.62","0.54 (0.19-1.5)","1.4","0.23"
"G404744","1.9","6.9 (0.83-58)","3.2","0.074"
"G283214","0.36","1.4 (0.13-16)","0.09","0.76"
"G647107","-0.45","0.64 (0.03-14)","0.08","0.77"
"G100422836","0.023","1 (0.21-5)","0","0.98"
"G100422870","0.023","1 (0.21-5)","0","0.98"
"G100422956","0.023","1 (0.21-5)","0","0.98"
"G348180","0.36","1.4 (0.18-11)","0.11","0.73"
"G101928040","-0.056","0.95 (0.16-5.7)","0","0.95"
"G2864","0.62","1.9 (0.15-23)","0.24","0.63"
"G101928861","-4.2","0.015 (0.00041-0.54)","5.3","0.022"
"G101927310","3","21 (1.3-330)","4.7","0.031"
"G400655","0.47","1.6 (0.62-4.1)","0.94","0.33"
"G101928995","0.69","2 (0.099-40)","0.2","0.65"
"G8082","0.056","1.1 (0.57-2)","0.03","0.86"
"G283914","2.2","9.5 (1.3-71)","4.8","0.029"
"G101927346","0.3","1.4 (0.077-24)","0.04","0.84"
"G6285","-0.31","0.73 (0.4-1.4)","0.99","0.32"
"G101927494","1.1","2.9 (0.12-69)","0.44","0.51"
"G101927396","0.35","1.4 (0.11-19)","0.07","0.79"
"G101927592","0.83","2.3 (0.29-18)","0.61","0.43"
"G101927164","0.71","2 (0.34-12)","0.6","0.44"
"G100874035","1.7","5.4 (1.3-23)","5.3","0.021"
"G100506068","-0.16","0.85 (0.091-7.9)","0.02","0.89"
"G101928273","-0.37","0.69 (0.044-11)","0.07","0.79"
"G283435","-0.62","0.54 (0.037-7.9)","0.21","0.65"
"G388906","0.083","1.1 (0.2-5.8)","0.01","0.92"
"G100506368","0.47","1.6 (0.41-6.2)","0.46","0.5"
"G144920","0.44","1.6 (0.1-24)","0.1","0.75"
"G101927058","-0.66","0.52 (0.025-11)","0.18","0.67"
"G100874018","0.52","1.7 (0.15-19)","0.18","0.67"
"G100505641","0.74","2.1 (0.23-19)","0.44","0.51"
"G101928012","0.85","2.3 (0.11-49)","0.3","0.58"
"G101929147","-0.49","0.61 (0.082-4.6)","0.23","0.63"
"G101928418","-0.78","0.46 (0.045-4.7)","0.43","0.51"
"G101978719","0.63","1.9 (0.17-21)","0.26","0.61"
"G101929648","-1.2","0.29 (0.03-2.8)","1.1","0.29"
"G100506939","-2.5","0.086 (0.0051-1.5)","2.9","0.089"
"G101927948","0.8","2.2 (0.27-18)","0.56","0.45"
"G285501","0.29","1.3 (0.084-21)","0.04","0.84"
"G101928491","-0.2","0.82 (0.044-15)","0.02","0.89"
"G730139","-0.73","0.48 (0.075-3.1)","0.59","0.44"
"G101929284","2.2","8.7 (2.2-34)","9.6","0.0019"
"G101927523","0.4","1.5 (0.14-16)","0.11","0.74"
"G101928475","1.2","3.4 (0.21-54)","0.75","0.39"
"G401612","1.6","4.9 (0.16-150)","0.83","0.36"
"G728445","0.52","1.7 (0.21-14)","0.23","0.63"
"G1102","-0.44","0.64 (0.16-2.6)","0.39","0.53"
"G101928823","0.62","1.9 (0.16-22)","0.24","0.62"
"G100129476","-0.38","0.69 (0.081-5.8)","0.12","0.73"
"G101928326","-1.8","0.17 (0.0093-3.1)","1.4","0.23"
"G101929384","2.8","16 (1.3-200)","4.8","0.029"
"G101927591","0.95","2.6 (0.26-26)","0.64","0.42"
"G101929478","0.82","2.3 (0.39-13)","0.83","0.36"
"G101928314","2.9","18 (0.32-1000)","2","0.16"
"G101927537","-0.13","0.88 (0.15-5)","0.02","0.89"
"G101928565","-0.48","0.62 (0.068-5.6)","0.18","0.67"
"G285692","-1.6","0.19 (0.0051-7.3)","0.79","0.37"
"G6886","-0.032","0.97 (0.16-5.8)","0","0.97"
"G8678","-0.23","0.79 (0.13-4.7)","0.07","0.8"
"G114796","-0.29","0.75 (0.41-1.4)","0.9","0.34"
"G102724640","1.2","3.3 (0.5-21)","1.5","0.21"
"G286121","0.46","1.6 (0.28-9)","0.27","0.6"
"G100874243","1.3","3.7 (0.28-48)","0.98","0.32"
"G101929486","2.5","13 (0.63-250)","2.8","0.097"
"G100874314","0.81","2.2 (0.22-23)","0.47","0.49"
"G441178","0.45","1.6 (0.14-18)","0.13","0.72"
"G101929662","0.47","1.6 (0.3-8.6)","0.3","0.58"
"G285735","-0.41","0.67 (0.14-3.1)","0.27","0.6"
"G101927829","2.6","14 (0.75-250)","3.1","0.078"
"G150185","-2.8","0.059 (0.0037-0.94)","4","0.045"
"G101928196","0.9","2.5 (0.21-29)","0.52","0.47"
"G9400","0.045","1 (0.19-5.7)","0","0.96"
"G101927682","-0.29","0.75 (0.11-5.3)","0.08","0.77"
"G101929181","0.32","1.4 (0.17-11)","0.09","0.76"
"G101929224","-0.27","0.77 (0.25-2.4)","0.22","0.64"
"G283352","-0.48","0.62 (0.084-4.5)","0.23","0.63"
"G4585","0.082","1.1 (0.72-1.6)","0.15","0.69"
"G102724386","0.34","1.4 (0.057-35)","0.04","0.84"
"G6334","-0.35","0.7 (0.045-11)","0.06","0.8"
"G643677","0.15","1.2 (0.016-82)","0","0.95"
"G200035","0.32","1.4 (0.34-5.6)","0.19","0.66"
"G100133669","-0.11","0.9 (0.21-3.8)","0.02","0.88"
"G100996624","-0.67","0.51 (0.019-14)","0.16","0.69"
"G400709","0.51","1.7 (0.7-4)","1.4","0.25"
"G100505718","-0.91","0.4 (0.022-7.6)","0.37","0.54"
"G94120","-0.046","0.96 (0.35-2.6)","0.01","0.93"
"G10390","0.9","2.5 (0.91-6.7)","3.1","0.076"
"G170371","-0.094","0.91 (0.27-3.1)","0.02","0.88"
"G101928668","1.4","4 (0.64-26)","2.2","0.14"
"G78996","-0.32","0.73 (0.15-3.6)","0.15","0.69"
"G653739","0.83","2.3 (0.28-19)","0.6","0.44"
"G160365","-0.48","0.62 (0.18-2.1)","0.58","0.45"
"G9953","0.74","2.1 (0.61-7.3)","1.4","0.24"
"G51639","-0.19","0.82 (0.26-2.6)","0.11","0.74"
"G389161","-0.61","0.54 (0.037-7.9)","0.2","0.65"
"G3493","-0.022","0.98 (0.65-1.5)","0.01","0.92"
"G3500","-0.055","0.95 (0.59-1.5)","0.05","0.82"
"G3507","-0.07","0.93 (0.62-1.4)","0.12","0.73"
"G28396","-0.02","0.98 (0.67-1.4)","0.01","0.92"
"G79659","-0.97","0.38 (0.079-1.8)","1.5","0.22"
"G55743","0.26","1.3 (0.36-4.7)","0.16","0.69"
"G100128843","0.067","1.1 (0.16-7.3)","0","0.95"
"G100507321","-2.2","0.11 (0.02-0.63)","6.2","0.013"
"G80219","-0.99","0.37 (0.055-2.5)","1","0.31"
"G159963","-0.42","0.66 (0.014-30)","0.05","0.83"
"G114817","-0.48","0.62 (0.12-3.1)","0.33","0.56"
"G266695","1.7","5.5 (0.39-79)","1.6","0.21"
"G100423041","0.44","1.5 (0.62-3.9)","0.87","0.35"
"G6629","-0.38","0.68 (0.2-2.3)","0.38","0.54"
"G131368","0.66","1.9 (0.63-6)","1.3","0.25"
"G6601","1","2.8 (1.1-7.1)","4.9","0.027"
"G284498","2","7.2 (0.81-63)","3.2","0.076"
"G284798","0.17","1.2 (0.19-7.2)","0.03","0.86"
"G100505635","0.84","2.3 (0.29-19)","0.63","0.43"
"G100996490","0.59","1.8 (0.31-11)","0.43","0.51"
"G100505583","1.1","2.9 (0.27-32)","0.79","0.37"
"G317761","-0.51","0.6 (0.03-12)","0.11","0.74"
"G286068","0.59","1.8 (0.36-9)","0.52","0.47"
"G157931","0.89","2.4 (0.33-18)","0.75","0.39"
"G79890","1.7","5.4 (1.4-22)","5.7","0.017"
"G100506413","-2.9","0.053 (0.0021-1.3)","3.2","0.075"
"G100506730","-0.032","0.97 (0.4-2.3)","0.01","0.94"
"G100130654","1.4","3.9 (0.51-30)","1.7","0.19"
"G5883","0.07","1.1 (0.26-4.4)","0.01","0.92"
"G100130987","-0.13","0.88 (0.27-2.8)","0.05","0.82"
"G896","-0.19","0.83 (0.42-1.6)","0.3","0.59"
"G101927495","0.64","1.9 (0.17-21)","0.27","0.6"
"G284898","1.8","5.8 (0.71-47)","2.7","0.1"
"G3717","-0.16","0.85 (0.37-2)","0.13","0.71"
"G727699","0.41","1.5 (0.22-10)","0.17","0.68"
"G101928694","0.82","2.3 (0.096-54)","0.26","0.61"
"G101928580","0.73","2.1 (0.31-14)","0.57","0.45"
"G101927244","1.6","5.1 (0.49-53)","1.8","0.17"
"G152225","-1","0.36 (0.025-5.4)","0.54","0.46"
"G101927734","-2","0.14 (0.016-1.2)","3.3","0.07"
"G284757","-0.036","0.96 (0.47-2)","0.01","0.92"
"G729296","-0.34","0.71 (0.12-4.1)","0.15","0.7"
"G101927159","0.77","2.2 (0.27-17)","0.53","0.47"
"G139420","0.47","1.6 (0.055-47)","0.07","0.79"
"G101927582","0.25","1.3 (0.077-21)","0.03","0.86"
"G286144","-0.65","0.52 (0.2-1.4)","1.8","0.19"
"G101927815","-0.12","0.88 (0.093-8.4)","0.01","0.91"
"G101929172","1.4","3.9 (0.58-27)","2","0.16"
"G100874182","1.2","3.2 (0.22-46)","0.73","0.39"
"G92292","0.16","1.2 (0.04-35)","0.01","0.93"
"G7871","-0.91","0.4 (0.13-1.3)","2.4","0.13"
"G101927084","0.9","2.5 (0.38-16)","0.9","0.34"
"G101928833","-1.1","0.35 (0.015-8.3)","0.42","0.52"
"G101928537","0.43","1.5 (0.16-15)","0.14","0.71"
"G101927193","0.2","1.2 (0.05-30)","0.01","0.9"
"G7643","-0.42","0.66 (0.015-29)","0.05","0.83"
"G23517","-0.67","0.51 (0.2-1.3)","2.1","0.15"
