"","beta","HR (95% CI for HR)","wald.test","p.value"
"G400223","0.12","1.1 (0.78-1.6)","0.4","0.52"
"G653663","-0.45","0.64 (0.25-1.6)","0.92","0.34"
"G7098","-0.14","0.87 (0.54-1.4)","0.31","0.58"
"G84540","0.12","1.1 (0.57-2.2)","0.12","0.73"
"G282775","0.45","1.6 (0.58-4.2)","0.78","0.38"
"G26782","0.21","1.2 (0.8-1.9)","0.88","0.35"
"G54513","-0.11","0.89 (0.44-1.8)","0.1","0.75"
"G653765","0.32","1.4 (0.76-2.5)","1.1","0.29"
"G84864","0.11","1.1 (0.44-2.9)","0.06","0.81"
"G30062","-0.72","0.48 (0.22-1.1)","3.1","0.078"
"G29999","0.47","1.6 (0.57-4.4)","0.8","0.37"
"G85449","0.83","2.3 (1-5.1)","4","0.044"
"G55178","-0.083","0.92 (0.46-1.8)","0.05","0.82"
"G3122","-0.074","0.93 (0.73-1.2)","0.38","0.54"
"G8883","0.16","1.2 (0.61-2.2)","0.22","0.64"
"G652002","-0.22","0.8 (0.48-1.3)","0.72","0.4"
"G10865","0.55","1.7 (0.89-3.4)","2.6","0.11"
"G644229","-0.48","0.62 (0.25-1.5)","1.1","0.3"
"G6770","-0.49","0.61 (0.25-1.5)","1.2","0.28"
"G10329","0.064","1.1 (0.53-2.1)","0.03","0.86"
"G440927","0.13","1.1 (0.86-1.5)","0.83","0.36"
"G132014","0.49","1.6 (0.62-4.3)","1","0.32"
"G28227","0.06","1.1 (0.62-1.8)","0.05","0.83"
"G6176","-0.052","0.95 (0.55-1.6)","0.04","0.85"
"G3557","-0.079","0.92 (0.57-1.5)","0.1","0.75"
"G646399","-0.11","0.89 (0.48-1.7)","0.12","0.72"
"G55035","0.53","1.7 (0.8-3.6)","1.9","0.17"
"G650026","-0.14","0.87 (0.55-1.4)","0.38","0.54"
"G649021","-0.086","0.92 (0.47-1.8)","0.06","0.8"
"G55160","0.5","1.6 (0.91-3)","2.7","0.1"
"G114932","-0.31","0.73 (0.35-1.5)","0.66","0.42"
"G8623","-0.39","0.68 (0.36-1.3)","1.4","0.23"
"G646445","-1.1","0.34 (0.1-1.1)","3.2","0.076"
"G643817","-0.34","0.71 (0.43-1.2)","1.7","0.19"
"G51154","-0.56","0.57 (0.28-1.2)","2.3","0.13"
"G401217","-0.46","0.63 (0.24-1.7)","0.86","0.35"
"G51207","-0.25","0.78 (0.25-2.4)","0.19","0.66"
"G84458","0.091","1.1 (0.64-1.9)","0.11","0.74"
"G1760","0.69","2 (1.1-3.6)","5.3","0.021"
"G1767","0.28","1.3 (0.95-1.8)","2.7","0.1"
"G54508","-0.12","0.88 (0.61-1.3)","0.45","0.5"
"G728","-0.095","0.91 (0.68-1.2)","0.4","0.53"
"G643070","-1","0.36 (0.1-1.2)","2.7","0.1"
"G6307","0.22","1.2 (0.73-2.1)","0.66","0.42"
"G474149","0.51","1.7 (0.56-4.9)","0.85","0.36"
"G7903","-0.2","0.82 (0.5-1.3)","0.65","0.42"
"G79957","0.23","1.3 (0.83-1.9)","1.2","0.27"
"G653882","0.17","1.2 (0.45-3.1)","0.13","0.72"
"G55265","-0.32","0.73 (0.39-1.4)","0.97","0.33"
"G653519","0.31","1.4 (0.81-2.3)","1.4","0.25"
"G646363","0.082","1.1 (0.44-2.7)","0.03","0.86"
"G3213","0.072","1.1 (0.81-1.4)","0.25","0.62"
"G648189","-0.046","0.96 (0.62-1.5)","0.04","0.84"
"G649292","-0.43","0.65 (0.36-1.2)","1.9","0.17"
"G130916","0.14","1.2 (0.77-1.7)","0.48","0.49"
"G401509","0.093","1.1 (0.49-2.4)","0.05","0.82"
"G88455","-0.4","0.67 (0.36-1.2)","1.6","0.21"
"G650162","-0.42","0.66 (0.28-1.5)","0.93","0.34"
"G92715","-0.037","0.96 (0.63-1.5)","0.03","0.86"
"G651586","-0.46","0.63 (0.28-1.4)","1.3","0.26"
"G375686","-0.41","0.66 (0.17-2.6)","0.34","0.56"
"G975","-0.63","0.53 (0.24-1.2)","2.5","0.12"
"G57589","0.57","1.8 (0.89-3.5)","2.6","0.1"
"G80301","0.038","1 (0.75-1.4)","0.05","0.82"
"G642672","-0.77","0.46 (0.16-1.4)","2","0.16"
"G9136","-0.22","0.8 (0.54-1.2)","1.1","0.29"
"G10085","0.058","1.1 (0.64-1.8)","0.05","0.82"
"G9578","-0.13","0.88 (0.52-1.5)","0.25","0.62"
"G390431","-0.26","0.77 (0.21-2.8)","0.15","0.69"
"G11005","0.02","1 (0.88-1.2)","0.07","0.79"
"G652492","0.097","1.1 (0.57-2.1)","0.08","0.77"
"G648287","-0.32","0.72 (0.39-1.4)","1","0.31"
"G6649","0.11","1.1 (0.88-1.4)","0.83","0.36"
"G554206","-0.024","0.98 (0.67-1.4)","0.02","0.9"
"G7108","-0.11","0.9 (0.64-1.3)","0.38","0.54"
"G653127","-0.95","0.39 (0.14-1)","3.5","0.062"
"G441308","0.29","1.3 (0.42-4.3)","0.23","0.63"
"G25983","-0.044","0.96 (0.56-1.6)","0.03","0.87"
"G7135","0.013","1 (0.43-2.4)","0","0.98"
"G651143","-0.069","0.93 (0.66-1.3)","0.15","0.7"
"G166815","-0.23","0.79 (0.49-1.3)","0.9","0.34"
"G5494","0.063","1.1 (0.58-2)","0.04","0.84"
"G114790","-0.077","0.93 (0.56-1.5)","0.09","0.76"
"G84152","0.14","1.1 (0.78-1.7)","0.48","0.49"
"G55179","-0.12","0.89 (0.43-1.8)","0.1","0.75"
"G6772","-0.11","0.89 (0.6-1.3)","0.32","0.57"
"G401494","0.046","1 (0.7-1.6)","0.05","0.82"
"G283208","0.29","1.3 (0.8-2.2)","1.2","0.27"
"G1399","-0.26","0.77 (0.32-1.8)","0.34","0.56"
"G9260","0.36","1.4 (0.82-2.5)","1.6","0.21"
"G23024","0.57","1.8 (0.65-4.8)","1.2","0.26"
"G25836","0.3","1.4 (0.5-3.6)","0.36","0.55"
"G284672","-0.29","0.75 (0.36-1.6)","0.61","0.44"
"G55274","0.25","1.3 (0.76-2.2)","0.85","0.36"
"G9840","-0.52","0.59 (0.39-0.91)","5.8","0.016"
"G203859","0.5","1.6 (0.67-4.1)","1.2","0.28"
"G647781","-0.38","0.68 (0.32-1.5)","0.95","0.33"
"G6331","-1.2","0.29 (0.075-1.1)","3.2","0.076"
"G1382","-0.12","0.88 (0.74-1)","2","0.16"
"G54567","0.17","1.2 (0.79-1.8)","0.66","0.42"
"G1428","-0.033","0.97 (0.69-1.4)","0.04","0.85"
"G9350","0.38","1.5 (0.39-5.5)","0.31","0.58"
"G26682","-0.31","0.74 (0.33-1.6)","0.56","0.45"
"G647778","0.41","1.5 (0.94-2.4)","2.9","0.091"
"G440712","-0.051","0.95 (0.76-1.2)","0.2","0.66"
"G8419","-0.6","0.55 (0.3-1)","3.6","0.059"
"G26047","0.1","1.1 (0.96-1.3)","2","0.15"
"G442572","-0.44","0.65 (0.28-1.5)","1.1","0.3"
"G84054","0.26","1.3 (0.95-1.7)","2.8","0.097"
"G116071","-0.087","0.92 (0.65-1.3)","0.25","0.62"
"G642673","1.3","3.7 (1.9-7.4)","14","0.00021"
"G121642","-0.19","0.82 (0.51-1.3)","0.64","0.42"
"G79933","0.49","1.6 (1-2.6)","4","0.044"
"G8480","0.3","1.3 (0.64-2.8)","0.61","0.44"
"G333929","-0.23","0.8 (0.48-1.3)","0.79","0.37"
"G11100","-0.6","0.55 (0.25-1.2)","2.2","0.13"
"G30832","-1.4","0.24 (0.065-0.86)","4.8","0.029"
"G9940","0.043","1 (0.64-1.7)","0.03","0.86"
"G8738","0.23","1.3 (0.86-1.9)","1.4","0.24"
"G65009","0.15","1.2 (0.5-2.7)","0.11","0.74"
"G53905","0.24","1.3 (0.85-1.9)","1.4","0.24"
"G200014","-0.19","0.83 (0.5-1.4)","0.52","0.47"
"G440929","-0.12","0.89 (0.71-1.1)","1","0.31"
"G341568","-0.52","0.59 (0.19-1.8)","0.82","0.37"
"G649406","0.36","1.4 (0.56-3.6)","0.56","0.45"
"G440482","-0.15","0.86 (0.66-1.1)","1.3","0.25"
"G51002","0.23","1.3 (0.71-2.2)","0.62","0.43"
"G642326","-1","0.36 (0.11-1.2)","2.9","0.088"
"G5567","0.047","1 (0.29-3.8)","0.01","0.94"
"G64927","0.036","1 (0.56-1.9)","0.01","0.91"
"G4800","-0.18","0.83 (0.46-1.5)","0.37","0.54"
"G1184","0.11","1.1 (0.68-1.8)","0.18","0.67"
"G79607","-0.26","0.77 (0.52-1.1)","1.8","0.18"
"G4048","-0.45","0.64 (0.37-1.1)","2.7","0.1"
"G84890","-0.021","0.98 (0.49-2)","0","0.95"
"G650427","-0.31","0.73 (0.34-1.6)","0.62","0.43"
"G647585","0.056","1.1 (0.55-2)","0.03","0.87"
"G373856","0.095","1.1 (0.45-2.7)","0.04","0.84"
"G51248","0.56","1.8 (0.71-4.3)","1.5","0.22"
"G400752","-0.13","0.88 (0.33-2.3)","0.07","0.79"
"G57325","0.32","1.4 (0.61-3.1)","0.58","0.45"
"G121275","0.061","1.1 (0.38-3)","0.01","0.91"
"G23412","-0.24","0.78 (0.38-1.6)","0.44","0.51"
"G1780","0.075","1.1 (0.89-1.3)","0.6","0.44"
"G649436","-0.087","0.92 (0.36-2.3)","0.03","0.85"
"G644989","-0.17","0.84 (0.3-2.4)","0.11","0.74"
"G2672","0.029","1 (0.8-1.3)","0.05","0.83"
"G641725","-0.01","0.99 (0.45-2.2)","0","0.98"
"G85019","-0.14","0.87 (0.65-1.2)","0.97","0.32"
"G145438","-0.14","0.87 (0.62-1.2)","0.63","0.43"
"G389119","0.052","1.1 (0.75-1.5)","0.09","0.77"
"G647850","-0.0054","0.99 (0.42-2.4)","0","0.99"
"G159371","-0.24","0.79 (0.61-1)","3.2","0.074"
"G29123","0.18","1.2 (0.53-2.7)","0.18","0.67"
"G9887","0.35","1.4 (0.44-4.5)","0.34","0.56"
"G9444","-0.21","0.81 (0.46-1.4)","0.56","0.45"
"G649589","0.12","1.1 (0.79-1.6)","0.4","0.53"
"G650634","-0.12","0.88 (0.37-2.1)","0.07","0.78"
"G23366","0.17","1.2 (0.86-1.6)","1","0.31"
"G5108","0.047","1 (0.54-2)","0.02","0.89"
"G286128","-0.22","0.8 (0.26-2.5)","0.14","0.7"
"G6128","-0.097","0.91 (0.55-1.5)","0.15","0.7"
"G9704","-0.31","0.74 (0.37-1.4)","0.79","0.37"
"G651213","0.41","1.5 (0.82-2.7)","1.8","0.19"
"G55222","-0.76","0.47 (0.27-0.8)","7.8","0.0053"
"G6845","0.14","1.2 (0.7-1.9)","0.31","0.58"
"G90342","-0.58","0.56 (0.25-1.3)","1.9","0.17"
"G285226","-0.94","0.39 (0.18-0.87)","5.3","0.021"
"G149699","-1.7","0.19 (0.049-0.75)","5.6","0.018"
"G6882","0.037","1 (0.57-1.9)","0.01","0.9"
"G5533","-0.13","0.88 (0.57-1.3)","0.37","0.54"
"G647181","-0.014","0.99 (0.47-2.1)","0","0.97"
"G3004","-0.22","0.8 (0.47-1.3)","0.71","0.4"
"G6755","-0.37","0.69 (0.24-2)","0.48","0.49"
"G83937","0.11","1.1 (0.74-1.7)","0.27","0.61"
"G642995","0.28","1.3 (0.5-3.5)","0.33","0.57"
"G163051","0.55","1.7 (0.8-3.8)","1.9","0.16"
"G653471","0.12","1.1 (0.57-2.3)","0.13","0.72"
"G389674","0.48","1.6 (0.85-3.1)","2.1","0.15"
"G438","-0.35","0.7 (0.28-1.8)","0.54","0.46"
"G644072","-0.62","0.54 (0.21-1.4)","1.7","0.19"
"G22913","-0.32","0.73 (0.4-1.3)","1.1","0.29"
"G645039","-0.16","0.85 (0.28-2.6)","0.09","0.77"
"G643008","0.36","1.4 (0.81-2.5)","1.6","0.21"
"G84059","-0.079","0.92 (0.74-1.2)","0.5","0.48"
"G23315","-0.013","0.99 (0.63-1.5)","0","0.96"
"G643120","0.0094","1 (0.31-3.3)","0","0.99"
"G402693","-0.23","0.79 (0.34-1.8)","0.29","0.59"
"G259173","0.55","1.7 (0.81-3.7)","2","0.16"
"G402677","-0.097","0.91 (0.7-1.2)","0.52","0.47"
"G652605","-0.65","0.52 (0.16-1.7)","1.2","0.28"
"G6304","0.46","1.6 (0.96-2.6)","3.3","0.069"
"G10263","-0.047","0.95 (0.66-1.4)","0.06","0.8"
"G5029","0.64","1.9 (0.85-4.2)","2.5","0.12"
"G6756","-0.51","0.6 (0.25-1.4)","1.3","0.25"
"G8705","0.083","1.1 (0.68-1.7)","0.12","0.73"
"G642782","0.73","2.1 (0.56-7.7)","1.2","0.28"
"G11196","-0.063","0.94 (0.62-1.4)","0.09","0.77"
"G56474","-0.45","0.64 (0.28-1.4)","1.2","0.28"
"G8800","-0.4","0.67 (0.39-1.1)","2.2","0.13"
"G219981","-0.03","0.97 (0.36-2.6)","0","0.95"
"G388815","0.23","1.3 (0.77-2.1)","0.84","0.36"
"G646019","-0.37","0.69 (0.26-1.8)","0.57","0.45"
"G653415","-0.22","0.8 (0.35-1.8)","0.28","0.59"
"G6629","-0.013","0.99 (0.48-2)","0","0.97"
"G1950","0.052","1.1 (0.71-1.6)","0.07","0.8"
"G285927","-0.1","0.9 (0.65-1.3)","0.39","0.53"
"G6836","-0.015","0.98 (0.64-1.5)","0","0.94"
"G55312","0.51","1.7 (1-2.7)","4.6","0.031"
"G340205","-0.21","0.81 (0.48-1.4)","0.6","0.44"
"G642866","-0.12","0.88 (0.37-2.1)","0.08","0.78"
"G135896","-0.67","0.51 (0.16-1.7)","1.2","0.27"
"G51504","0.089","1.1 (0.72-1.6)","0.18","0.67"
"G201562","0.45","1.6 (0.83-3)","1.9","0.16"
"G57496","0.031","1 (0.75-1.4)","0.04","0.85"
"G9495","-0.49","0.61 (0.28-1.4)","1.5","0.23"
"G9218","0.37","1.4 (0.84-2.5)","1.8","0.19"
"G85456","-0.27","0.76 (0.48-1.2)","1.3","0.25"
"G177","0.068","1.1 (0.85-1.3)","0.34","0.56"
"G56479","-0.053","0.95 (0.26-3.5)","0.01","0.94"
"G84814","-0.16","0.85 (0.57-1.3)","0.57","0.45"
"G375337","-0.91","0.4 (0.15-1.1)","3.2","0.071"
"G10049","0.36","1.4 (0.63-3.3)","0.74","0.39"
"G642412","-0.053","0.95 (0.69-1.3)","0.1","0.75"
"G646456","0.32","1.4 (0.4-4.7)","0.26","0.61"
"G388566","-0.34","0.71 (0.5-1)","3.6","0.057"
"G10324","-0.11","0.89 (0.51-1.6)","0.15","0.69"
"G401056","0.32","1.4 (0.82-2.3)","1.5","0.22"
"G143678","-0.027","0.97 (0.36-2.7)","0","0.96"
"G335","0.0024","1 (0.53-1.9)","0","0.99"
"G80790","-0.61","0.54 (0.21-1.4)","1.6","0.21"
"G55809","-0.031","0.97 (0.51-1.8)","0.01","0.93"
"G343477","-0.066","0.94 (0.51-1.7)","0.05","0.83"
"G644735","-0.068","0.93 (0.47-1.9)","0.04","0.85"
"G1235","-0.33","0.72 (0.3-1.7)","0.53","0.47"
"G440498","0.57","1.8 (1.1-2.8)","5.8","0.017"
"G388272","-0.074","0.93 (0.58-1.5)","0.1","0.76"
"G6672","-0.47","0.62 (0.4-0.97)","4.4","0.036"
"G6773","-0.012","0.99 (0.59-1.6)","0","0.96"
"G23139","0.47","1.6 (0.96-2.7)","3.2","0.072"
"G10753","-0.011","0.99 (0.83-1.2)","0.01","0.9"
"G253724","-0.46","0.63 (0.19-2.1)","0.56","0.45"
"G1890","0.022","1 (0.73-1.4)","0.02","0.9"
"G649094","0.12","1.1 (0.36-3.5)","0.04","0.84"
"G8532","0.086","1.1 (0.7-1.7)","0.15","0.7"
"G390551","-0.0096","0.99 (0.49-2)","0","0.98"
"G50807","-0.044","0.96 (0.63-1.5)","0.04","0.84"
"G642233","0.015","1 (0.7-1.5)","0.01","0.94"
"G10214","-0.56","0.57 (0.2-1.6)","1.1","0.29"
"G10786","-0.21","0.81 (0.43-1.5)","0.42","0.52"
"G641939","-0.33","0.72 (0.39-1.3)","1.2","0.28"
"G1652","-0.011","0.99 (0.61-1.6)","0","0.96"
"G63973","0.58","1.8 (1.3-2.4)","16","8.1e-05"
"G80339","-0.83","0.43 (0.17-1.1)","3.2","0.076"
"G152015","1.2","3.2 (1.2-8.8)","5","0.025"
"G651325","-0.44","0.65 (0.33-1.3)","1.6","0.21"
"G64787","-0.61","0.54 (0.16-1.8)","1","0.31"
"G5003","-0.034","0.97 (0.77-1.2)","0.09","0.76"
"G91561","0.28","1.3 (0.76-2.3)","0.96","0.33"
"G642198","-0.13","0.88 (0.46-1.7)","0.15","0.7"
"G642762","0.16","1.2 (0.51-2.7)","0.15","0.7"
"G84824","-0.15","0.86 (0.73-1)","3.1","0.076"
"G56159","-0.25","0.78 (0.35-1.7)","0.38","0.54"
"G135946","-0.0064","0.99 (0.48-2.1)","0","0.99"
"G4358","0.031","1 (0.51-2.1)","0.01","0.93"
"G139629","0.41","1.5 (0.53-4.3)","0.6","0.44"
"G124044","-0.029","0.97 (0.57-1.7)","0.01","0.92"
"G23556","0.72","2.1 (0.97-4.3)","3.5","0.06"
"G116092","-0.23","0.8 (0.52-1.2)","1.2","0.28"
"G79845","0.024","1 (0.72-1.5)","0.02","0.9"
"G645492","-0.24","0.79 (0.37-1.7)","0.38","0.54"
"G7448","-0.052","0.95 (0.75-1.2)","0.19","0.66"
"G84316","0.24","1.3 (0.82-2)","1.1","0.29"
"G22931","0.24","1.3 (0.86-1.9)","1.4","0.23"
"G643047","0.24","1.3 (0.67-2.4)","0.55","0.46"
"G4489","0.1","1.1 (0.83-1.5)","0.48","0.49"
"G116179","0.073","1.1 (0.63-1.8)","0.07","0.79"
"G63967","0.6","1.8 (0.84-4)","2.3","0.13"
"G23192","0.13","1.1 (0.68-1.9)","0.26","0.61"
"G130","0.22","1.2 (0.75-2.1)","0.71","0.4"
"G650003","-0.11","0.9 (0.39-2.1)","0.06","0.8"
"G5013","-0.075","0.93 (0.69-1.3)","0.24","0.62"
"G81542","-0.029","0.97 (0.61-1.6)","0.01","0.9"
"G51720","-0.61","0.54 (0.26-1.1)","2.7","0.1"
"G644267","-0.17","0.84 (0.41-1.7)","0.21","0.65"
"G284485","0.11","1.1 (0.64-2)","0.16","0.69"
"G651044","0.36","1.4 (0.71-2.9)","0.99","0.32"
"G401013","0.2","1.2 (0.59-2.5)","0.29","0.59"
"G651832","0.00068","1 (0.63-1.6)","0","1"
"G649265","-0.26","0.77 (0.31-1.9)","0.32","0.57"
"G84924","-0.18","0.83 (0.39-1.8)","0.22","0.64"
"G284756","-0.14","0.87 (0.64-1.2)","0.89","0.35"
"G10486","-0.052","0.95 (0.64-1.4)","0.07","0.79"
"G390975","-0.75","0.47 (0.18-1.2)","2.3","0.13"
"G54751","0.61","1.8 (0.91-3.7)","2.9","0.089"
"G645649","0.44","1.6 (0.85-2.9)","2","0.15"
"G642978","-0.14","0.87 (0.35-2.2)","0.09","0.77"
"G51471","0.061","1.1 (0.7-1.6)","0.08","0.77"
"G30827","0.12","1.1 (0.71-1.8)","0.26","0.61"
"G3823","0.17","1.2 (0.51-2.8)","0.16","0.69"
"G1951","-0.19","0.83 (0.66-1)","2.6","0.1"
"G94005","0.17","1.2 (0.72-2)","0.45","0.5"
"G91445","-0.094","0.91 (0.45-1.8)","0.07","0.79"
"G1488","0.19","1.2 (0.57-2.6)","0.23","0.63"
"G5818","-0.01","0.99 (0.46-2.1)","0","0.98"
"G257177","-0.0068","0.99 (0.65-1.5)","0","0.97"
"G651536","-0.38","0.68 (0.35-1.3)","1.2","0.27"
"G642333","-0.94","0.39 (0.11-1.4)","2.1","0.15"
"G126295","0.22","1.3 (0.87-1.8)","1.4","0.23"
"G51314","0.2","1.2 (0.8-1.9)","0.84","0.36"
"G150159","-0.19","0.83 (0.3-2.2)","0.14","0.71"
"G51267","0.046","1 (0.76-1.4)","0.08","0.77"
"G27101","0.15","1.2 (0.55-2.4)","0.15","0.7"
"G3575","-0.066","0.94 (0.76-1.2)","0.37","0.54"
"G57467","-0.52","0.59 (0.33-1.1)","3","0.086"
"G647058","-0.68","0.51 (0.17-1.5)","1.5","0.21"
"G651568","0.19","1.2 (0.6-2.4)","0.28","0.6"
"G390507","0.12","1.1 (0.42-3)","0.06","0.81"
"G653483","-0.89","0.41 (0.12-1.4)","2","0.16"
"G114758","-0.11","0.89 (0.3-2.6)","0.04","0.84"
"G182","0.32","1.4 (1-1.8)","4.6","0.031"
"G23549","0.053","1.1 (0.64-1.7)","0.04","0.84"
"G27107","0.12","1.1 (0.71-1.8)","0.28","0.6"
"G644162","0.046","1 (0.62-1.8)","0.03","0.86"
"G84144","-0.28","0.75 (0.57-1)","3.7","0.055"
"G645850","0.44","1.6 (0.75-3.2)","1.4","0.24"
"G22872","-0.075","0.93 (0.52-1.7)","0.06","0.8"
"G25805","0.035","1 (0.82-1.3)","0.09","0.77"
"G4826","-0.013","0.99 (0.68-1.4)","0","0.94"
"G284040","-0.075","0.93 (0.59-1.5)","0.1","0.75"
"G84247","0.11","1.1 (0.78-1.6)","0.38","0.54"
"G79807","-0.54","0.58 (0.27-1.2)","2","0.16"
"G11108","0.32","1.4 (0.69-2.8)","0.82","0.37"
"G644","0.24","1.3 (0.75-2.1)","0.79","0.38"
"G200197","-0.49","0.61 (0.25-1.5)","1.2","0.27"
"G115426","0.38","1.5 (0.98-2.2)","3.5","0.061"
"G646630","0.57","1.8 (0.99-3.2)","3.8","0.053"
"G7525","0.26","1.3 (0.88-1.9)","1.7","0.19"
"G219409","-0.28","0.76 (0.3-1.9)","0.34","0.56"
"G113878","-0.13","0.88 (0.5-1.5)","0.21","0.65"
"G648623","-0.54","0.58 (0.25-1.4)","1.5","0.22"
"G83752","0.15","1.2 (0.67-2)","0.29","0.59"
"G2966","0.4","1.5 (0.6-3.7)","0.74","0.39"
"G7186","0.051","1.1 (0.78-1.4)","0.11","0.74"
"G9503","-0.2","0.82 (0.67-1)","3.8","0.05"
"G7082","0.34","1.4 (0.79-2.5)","1.3","0.25"
"G81698","0.12","1.1 (0.62-2.1)","0.16","0.69"
"G3580","-0.49","0.61 (0.29-1.3)","1.6","0.2"
"G5329","0.029","1 (0.79-1.3)","0.05","0.83"
"G644736","0.15","1.2 (0.51-2.7)","0.12","0.72"
"G79109","0.22","1.2 (0.73-2.1)","0.66","0.42"
"G348938","0.44","1.5 (1-2.4)","4","0.045"
"G8450","-0.055","0.95 (0.54-1.7)","0.04","0.85"
"G27040","-0.37","0.69 (0.39-1.2)","1.6","0.2"
"G645013","0.14","1.1 (0.42-3.1)","0.07","0.79"
"G9302","-0.74","0.48 (0.17-1.4)","1.9","0.17"
"G1998","-0.2","0.82 (0.48-1.4)","0.53","0.47"
"G646129","0.17","1.2 (0.54-2.6)","0.18","0.67"
"G151278","0.22","1.2 (0.83-1.9)","1.1","0.29"
"G132789","-0.1","0.91 (0.44-1.9)","0.07","0.79"
"G29081","-0.11","0.9 (0.6-1.3)","0.27","0.6"
"G7263","-0.06","0.94 (0.64-1.4)","0.09","0.76"
"G646064","0.1","1.1 (0.66-1.9)","0.15","0.7"
"G6643","-0.054","0.95 (0.61-1.5)","0.06","0.81"
"G112495","-0.075","0.93 (0.49-1.7)","0.05","0.82"
"G643318","-0.22","0.8 (0.37-1.7)","0.33","0.57"
"G641751","0.081","1.1 (0.44-2.7)","0.03","0.86"
"G254773","0.17","1.2 (0.6-2.4)","0.25","0.62"
"G645436","0.013","1 (0.66-1.6)","0","0.95"
"G89838","-0.15","0.86 (0.44-1.7)","0.19","0.67"
"G1618","-0.19","0.83 (0.44-1.6)","0.34","0.56"
"G4435","-0.25","0.78 (0.47-1.3)","0.99","0.32"
"G93659","0.067","1.1 (0.64-1.8)","0.06","0.8"
"G7216","0.28","1.3 (1-1.7)","4.1","0.042"
"G26762","0.33","1.4 (0.99-1.9)","3.5","0.06"
"G221424","-0.075","0.93 (0.6-1.4)","0.11","0.74"
"G646335","-0.53","0.59 (0.22-1.6)","1","0.31"
"G647713","-0.29","0.75 (0.29-1.9)","0.36","0.55"
"G115352","-0.44","0.64 (0.41-1)","3.6","0.058"
"G55304","0.11","1.1 (0.67-1.9)","0.18","0.67"
"G646939","-0.49","0.61 (0.26-1.4)","1.3","0.26"
"G285971","0.035","1 (0.69-1.6)","0.03","0.87"
"G643580","-0.45","0.64 (0.31-1.3)","1.5","0.22"
"G148198","0.27","1.3 (0.65-2.6)","0.56","0.45"
"G653517","0.73","2.1 (0.86-5)","2.6","0.1"
"G203286","-0.11","0.89 (0.39-2.1)","0.07","0.79"
"G79651","-0.35","0.7 (0.39-1.3)","1.4","0.24"
"G199720","0.11","1.1 (0.46-2.7)","0.06","0.81"
"G54625","-0.072","0.93 (0.59-1.5)","0.09","0.76"
"G30815","0.081","1.1 (0.62-1.9)","0.08","0.77"
"G389400","-0.35","0.71 (0.17-2.9)","0.23","0.63"
"G125111","-0.12","0.88 (0.51-1.5)","0.2","0.66"
"G10656","0.021","1 (0.74-1.4)","0.02","0.9"
"G26005","0.31","1.4 (0.71-2.6)","0.87","0.35"
"G404636","-0.16","0.86 (0.54-1.4)","0.42","0.52"
"G146050","0.32","1.4 (0.98-1.9)","3.3","0.068"
"G65059","-0.26","0.77 (0.5-1.2)","1.4","0.23"
"G10285","0.16","1.2 (0.61-2.2)","0.23","0.63"
"G168002","-0.11","0.89 (0.73-1.1)","1.3","0.26"
"G7574","-0.14","0.87 (0.48-1.6)","0.21","0.65"
"G3810","-0.63","0.53 (0.26-1.1)","3.1","0.08"
"G5682","0.46","1.6 (0.83-3)","2","0.16"
"G219428","-0.05","0.95 (0.48-1.9)","0.02","0.89"
"G650822","0.44","1.6 (0.6-4)","0.84","0.36"
"G10921","0.081","1.1 (0.67-1.8)","0.11","0.75"
"G50486","0.025","1 (0.79-1.3)","0.04","0.85"
"G167410","0.057","1.1 (0.76-1.5)","0.11","0.74"
"G55327","0.3","1.4 (0.73-2.5)","0.93","0.33"
"G774","0.014","1 (0.66-1.6)","0","0.95"
"G5877","0.25","1.3 (0.75-2.2)","0.84","0.36"
"G151011","0.05","1.1 (0.6-1.8)","0.03","0.86"
"G338811","-0.5","0.6 (0.15-2.5)","0.5","0.48"
"G8614","0.12","1.1 (0.89-1.4)","0.96","0.33"
"G8407","-0.0084","0.99 (0.72-1.4)","0","0.96"
"G221491","0.11","1.1 (0.5-2.5)","0.07","0.79"
"G50937","1.1","2.9 (0.77-11)","2.5","0.12"
"G91749","0.68","2 (0.73-5.4)","1.8","0.18"
"G3028","0.21","1.2 (0.65-2.3)","0.42","0.52"
"G53339","0.35","1.4 (0.99-2)","3.7","0.054"
"G23466","-0.22","0.8 (0.53-1.2)","1.1","0.3"
"G10983","-0.33","0.72 (0.3-1.7)","0.55","0.46"
"G134145","0.42","1.5 (0.67-3.5)","1","0.32"
"G27340","0.11","1.1 (0.6-2.1)","0.12","0.73"
"G84321","0.094","1.1 (0.69-1.8)","0.15","0.69"
"G139067","0.73","2.1 (0.74-5.8)","1.9","0.16"
"G26716","-0.47","0.63 (0.17-2.3)","0.51","0.48"
"G400579","-0.065","0.94 (0.63-1.4)","0.1","0.75"
"G84668","0.015","1 (0.4-2.6)","0","0.97"
"G439936","-0.21","0.81 (0.47-1.4)","0.54","0.46"
"G652111","0.24","1.3 (0.63-2.6)","0.44","0.51"
"G10279","0.044","1 (0.79-1.4)","0.1","0.76"
"G645273","0.016","1 (0.37-2.8)","0","0.98"
"G644536","-0.42","0.66 (0.24-1.8)","0.66","0.42"
"G25913","0.72","2 (0.72-5.9)","1.8","0.18"
"G643100","0.25","1.3 (0.73-2.2)","0.76","0.38"
"G84138","-0.07","0.93 (0.63-1.4)","0.13","0.72"
