"","beta","HR (95% CI for HR)","wald.test","p.value"
"G648359","-0.26","0.77 (0.28-2.1)","0.27","0.61"
"G55229","0.042","1 (0.64-1.7)","0.03","0.87"
"G51629","-0.1","0.9 (0.44-1.8)","0.08","0.78"
"G57616","0.046","1 (0.75-1.5)","0.07","0.79"
"G134553","0.19","1.2 (0.82-1.8)","0.89","0.35"
"G441737","0.15","1.2 (0.71-1.9)","0.35","0.55"
"G652510","-0.074","0.93 (0.36-2.4)","0.02","0.88"
"G374918","0.083","1.1 (0.9-1.3)","0.75","0.39"
"G283149","0.033","1 (0.78-1.4)","0.05","0.82"
"G7226","-0.054","0.95 (0.56-1.6)","0.04","0.84"
"G196513","0.1","1.1 (0.7-1.7)","0.2","0.66"
"G79087","-0.081","0.92 (0.59-1.4)","0.13","0.72"
"G204962","0.22","1.3 (0.92-1.7)","2","0.15"
"G81577","0.25","1.3 (0.89-1.8)","1.8","0.18"
"G145815","0.2","1.2 (0.86-1.7)","1.2","0.27"
"G401666","-0.067","0.94 (0.34-2.5)","0.02","0.9"
"G2850","0.16","1.2 (0.5-2.8)","0.14","0.7"
"G91646","-0.0015","1 (0.54-1.8)","0","1"
"G1730","-0.24","0.78 (0.52-1.2)","1.4","0.24"
"G652455","-0.22","0.81 (0.58-1.1)","1.6","0.2"
"G134864","0.34","1.4 (0.44-4.6)","0.33","0.57"
"G10671","0.2","1.2 (0.65-2.3)","0.38","0.54"
"G55140","-0.19","0.83 (0.44-1.6)","0.33","0.57"
"G148345","0.12","1.1 (0.7-1.8)","0.25","0.62"
"G162540","-0.11","0.9 (0.44-1.8)","0.09","0.76"
"G650673","-0.18","0.84 (0.43-1.6)","0.26","0.61"
"G402317","-0.022","0.98 (0.44-2.2)","0","0.96"
"G79626","0.046","1 (0.73-1.5)","0.06","0.8"
"G23245","0.086","1.1 (0.52-2.3)","0.05","0.82"
"G51147","-0.034","0.97 (0.47-2)","0.01","0.93"
"G79145","0.14","1.1 (0.7-1.9)","0.29","0.59"
"G10744","0.6","1.8 (1.1-2.9)","6","0.014"
"G10153","0.077","1.1 (0.43-2.7)","0.03","0.87"
"G6529","0.73","2.1 (1.1-3.8)","5.4","0.02"
"G6725","-0.38","0.69 (0.26-1.8)","0.59","0.44"
"G6389","0.18","1.2 (0.64-2.2)","0.3","0.58"
"G255189","-0.091","0.91 (0.75-1.1)","0.85","0.36"
"G3635","0.083","1.1 (0.79-1.5)","0.26","0.61"
"G440685","-0.96","0.38 (0.17-0.85)","5.5","0.019"
"G128209","-0.22","0.8 (0.39-1.7)","0.35","0.55"
"G200232","0.19","1.2 (0.49-3)","0.17","0.68"
"G10116","-0.65","0.52 (0.28-0.98)","4.1","0.044"
"G93594","-0.078","0.93 (0.65-1.3)","0.18","0.67"
"G5663","-0.26","0.77 (0.26-2.3)","0.22","0.64"
"G120776","0.2","1.2 (0.41-3.7)","0.13","0.72"
"G645489","0.0091","1 (0.54-1.9)","0","0.98"
"G56919","-0.16","0.85 (0.47-1.5)","0.27","0.6"
"G128387","-0.21","0.81 (0.44-1.5)","0.43","0.51"
"G127295","-0.0037","1 (0.72-1.4)","0","0.98"
"G5054","0.08","1.1 (0.86-1.4)","0.46","0.5"
"G387267","-0.26","0.77 (0.3-2)","0.3","0.58"
"G30820","-0.57","0.57 (0.19-1.7)","1.1","0.3"
"G284371","-0.077","0.93 (0.66-1.3)","0.2","0.65"
"G84891","-0.35","0.7 (0.4-1.2)","1.5","0.22"
"G30818","0.12","1.1 (0.63-2)","0.17","0.68"
"G644629","-0.41","0.66 (0.34-1.3)","1.4","0.23"
"G4993","-0.25","0.78 (0.34-1.8)","0.36","0.55"
"G341947","-0.27","0.77 (0.45-1.3)","0.96","0.33"
"G79183","0.042","1 (0.62-1.8)","0.02","0.88"
"G647341","0.44","1.5 (0.75-3.2)","1.4","0.24"
"G147111","-0.4","0.67 (0.38-1.2)","2","0.16"
"G54905","0.22","1.2 (0.61-2.5)","0.36","0.55"
"G652633","-0.1","0.9 (0.5-1.6)","0.12","0.72"
"G114902","0.36","1.4 (0.93-2.2)","2.6","0.1"
"G641982","0.2","1.2 (0.62-2.4)","0.32","0.57"
"G51307","0.13","1.1 (0.57-2.3)","0.13","0.72"
"G2799","0.048","1 (0.57-1.9)","0.02","0.88"
"G144363","-0.13","0.88 (0.55-1.4)","0.29","0.59"
"G152663","-0.47","0.63 (0.25-1.5)","1","0.31"
"G440320","0.19","1.2 (0.45-3.2)","0.15","0.7"
"G148066","0.044","1 (0.48-2.3)","0.01","0.91"
"G142940","0.31","1.4 (0.86-2.2)","1.8","0.18"
"G158228","-0.16","0.85 (0.35-2)","0.13","0.72"
"G1535","-0.038","0.96 (0.74-1.3)","0.08","0.78"
"G652623","-0.089","0.92 (0.52-1.6)","0.1","0.76"
"G25879","0.19","1.2 (0.83-1.8)","0.94","0.33"
"G55200","-0.13","0.88 (0.64-1.2)","0.66","0.42"
"G642207","0.35","1.4 (0.64-3.2)","0.74","0.39"
"G387750","-0.029","0.97 (0.6-1.6)","0.01","0.91"
"G9543","-0.43","0.65 (0.29-1.4)","1.1","0.29"
"G55832","0.49","1.6 (1.2-2.3)","8.1","0.0044"
"G5693","0.31","1.4 (0.85-2.2)","1.6","0.2"
"G2033","-0.13","0.88 (0.53-1.5)","0.24","0.62"
"G650938","-0.34","0.71 (0.29-1.7)","0.57","0.45"
"G7732","0.041","1 (0.63-1.7)","0.03","0.87"
"G2247","0.36","1.4 (0.96-2.2)","3.1","0.079"
